country,nmi,abbreviation,joined_cipm_mra
USA,National Institute of Standards and Technology,NIST,1999
Germany,Physikalisch-Technische Bundesanstalt,PTB,1999
UK,National Physical Laboratory,NPL,1999
France,Laboratoire National de Metrologie et d'Essais,LNE,1999
Japan,National Metrology Institute of Japan,NMIJ,1999
Italy,Istituto Nazionale di Ricerca Metrologica,INRiM,1999
Canada,National Research Council Canada,NRC,1999
Australia,National Measurement Institute Australia,NMIA,1999
China,National Institute of Metrology,NIM,1999
India,National Physical Laboratory of India,NPLI,1999
Russia,All-Russian Research Institute of Metrology,VNIIM,1999
Brazil,National Institute of Metrology Standardization and Industrial Quality,INMETRO,1999
South Korea,Korea Research Institute of Standards and Science,KRISS,1999
South Africa,National Metrology Institute of South Africa,NMISA,2005
Mexico,Centro Nacional de Metrologia,CENAM,1999
Singapore,National Metrology Centre,NMC,2002
