flight,launch_date,ambient_temperature_C,damage_index,notes
STS-1,1981-04-12,18.9,0,no joint distress
STS-2,1981-11-12,21.1,2,erosion in one nozzle joint
STS-3,1982-03-22,21.1,0,no joint distress
STS-4,1982-06-27,20.0,0,no joint distress
STS-5,1982-11-11,18.9,0,no joint distress
STS-6,1983-04-04,18.9,0,no joint distress
STS-7,1983-06-18,23.3,0,no joint distress
STS-8,1983-08-30,21.7,0,no joint distress
STS-9,1983-11-28,18.3,0,no joint distress
41-B,1984-02-03,13.9,1,nozzle joint erosion
41-C,1984-04-06,16.1,2,nozzle joint erosion in two
41-D,1984-08-30,18.9,2,nozzle joint erosion in two
41-G,1984-10-05,21.1,0,no joint distress
51-A,1984-11-08,18.9,0,no joint distress
51-C,1985-01-24,11.7,3,field joint blow-by and erosion
51-D,1985-04-12,20.6,1,nozzle joint erosion
51-B,1985-04-29,23.9,0,nozzle blow-by
51-G,1985-06-17,26.7,0,no joint distress
51-F,1985-07-29,26.7,0,no joint distress
51-I,1985-08-27,22.8,0,no joint distress
51-J,1985-10-03,17.2,0,no joint distress
61-A,1985-10-30,16.1,2,nozzle blow-by
61-B,1985-11-26,15.0,0,no joint distress
61-C,1986-01-12,14.4,1,nozzle joint erosion
