time_s,voltage_V
0.0000,4.000000
0.1000,3.742028
0.2000,3.500693
0.3000,3.274923
0.4000,3.063713
0.5000,2.866125
0.6000,2.681280
0.7000,2.508356
0.8000,2.346585
0.9000,2.195247
1.0000,2.053668
1.1000,1.921221
1.2000,1.797316
1.3000,1.681402
1.4000,1.572963
1.5000,1.471518
1.6000,1.376615
1.7000,1.287833
1.8000,1.204777
1.9000,1.127077
2.0000,1.054389
2.1000,0.986388
2.2000,0.922773
2.3000,0.863260
2.4000,0.807586
2.5000,0.755502
2.6000,0.706778
2.7000,0.661196
2.8000,0.618553
2.9000,0.578661
3.0000,0.541341
3.1000,0.506428
3.2000,0.473767
3.3000,0.443213
3.4000,0.414629
3.5000,0.387888
3.6000,0.362872
3.7000,0.339469
3.8000,0.317576
3.9000,0.297094
4.0000,0.277934
4.1000,0.260009
4.2000,0.243240
4.3000,0.227553
4.4000,0.212877
4.5000,0.199148
4.6000,0.186305
4.7000,0.174289
4.8000,0.163049
4.9000,0.152533
5.0000,0.142696
