n,a_n,error,ratio
0,1.000000000000,2.609149e-01,
1,0.540302305868,-1.987828e-01,-0.7619
2,0.857553215846,1.184681e-01,-0.5960
3,0.654289790498,-8.479534e-02,-0.7158
4,0.793480358743,5.439523e-02,-0.6415
5,0.701368773623,-3.771636e-02,-0.6934
6,0.763959682901,2.487455e-02,-0.6595
7,0.722102425027,-1.698271e-02,-0.6827
8,0.750417761764,1.133263e-02,-0.6673
9,0.731404042423,-7.681091e-03,-0.6778
10,0.744237354901,5.152222e-03,-0.6708
11,0.735604740436,-3.480393e-03,-0.6755
12,0.741425086610,2.339953e-03,-0.6723
13,0.737506890513,-1.578243e-03,-0.6745
14,0.740147335568,1.062202e-03,-0.6730
15,0.738369204122,-7.159291e-04,-0.6740
16,0.739567202212,4.820690e-04,-0.6733
17,0.738760319874,-3.248133e-04,-0.6738
18,0.739303892397,2.187592e-04,-0.6735
19,0.738937756715,-1.473765e-04,-0.6737
20,0.739184399771,9.926656e-05,-0.6736
