series,k,term_magnitude,partial_sum,next_term_bound
arctan_1_5,0,2.000e-01,0.200000000000000,2.667e-03
arctan_1_5,1,2.667e-03,0.197333333333333,6.400e-05
arctan_1_5,2,6.400e-05,0.197397333333333,1.829e-06
arctan_1_5,3,1.829e-06,0.197395504761905,5.689e-08
arctan_1_5,4,5.689e-08,0.197395561650794,1.862e-09
arctan_1_5,5,1.862e-09,0.197395559788975,6.302e-11
arctan_1_5,6,6.302e-11,0.197395559851991,2.185e-12
arctan_1_5,7,2.185e-12,0.197395559849806,7.710e-14
arctan_1_239,0,4.184e-03,0.004184100418410,2.442e-08
arctan_1_239,1,2.442e-08,0.004184076001818,2.565e-13
