t_s,current_A,charge_removed_C
0,1.4872,0.00
30,1.5027,44.99
60,1.4986,90.11
90,1.4827,135.14
120,1.5000,180.07
150,1.5279,225.01
180,1.4973,270.06
210,1.4768,314.93
240,1.4840,359.99
270,1.5220,405.02
300,1.5395,450.02
330,1.4796,495.01
360,1.5090,540.00
390,1.5136,585.00
420,1.5123,630.10
450,1.4658,675.24
480,1.4669,720.32
510,1.4874,765.23
540,1.5156,810.30
570,1.5525,855.36
600,1.4609,900.25
630,1.5016,945.10
660,1.4991,990.12
690,1.4980,1035.00
720,1.4980,1080.08
750,1.5003,1125.22
780,1.5302,1170.26
810,1.5442,1216.04
840,1.7280,1264.73
870,2.0393,1320.91
900,2.1996,1385.04
930,1.9977,1449.42
960,1.7167,1505.61
990,1.5655,1554.50
1020,1.4992,1600.31
1050,1.4491,1645.28
1080,1.5163,1690.37
1110,1.4888,1735.38
1140,1.4638,1780.28
1170,1.5156,1825.27
1200,1.5241,1870.19
1230,1.5137,1915.24
1260,1.5027,1960.37
1290,1.5112,2005.53
1320,1.4924,2050.44
1350,1.4715,2095.41
1380,1.4863,2140.32
1410,1.4539,2185.20
1440,1.4993,2230.15
1470,1.4613,2275.23
1500,1.4998,2320.06
1530,1.4944,2365.18
1560,1.4708,2410.27
1590,1.5033,2455.21
1620,1.4919,2500.11
1650,1.4822,2545.20
1680,1.4807,2590.23
1710,1.4791,2635.25
1740,1.4900,2680.39
1770,1.5220,2725.56
1800,1.5035,2770.64
