t_s,speed_mps,drag_power_W,cumulative_energy_J
0,0.0000,0.0000,0.0000
1,0.5000,0.0517,0.0259
2,1.0000,0.4134,0.2584
3,1.5000,1.3943,1.1622
4,2.0000,3.3025,3.5106
5,2.5000,6.4456,8.3847
6,3.0000,11.1301,17.1726
7,3.5000,17.6615,31.5684
8,4.0000,26.3446,53.5715
9,4.5000,37.4832,85.4854
10,5.0000,51.3804,129.9172
11,5.2000,57.7793,184.4970
12,5.4000,64.6872,245.7302
13,5.6000,72.1234,314.1355
14,5.8000,80.1071,390.2507
15,6.0000,88.6575,474.6330
16,6.2000,97.7939,567.8587
17,6.4000,107.5354,670.5233
18,6.6000,117.9011,783.2416
19,6.8000,128.9103,906.6473
20,7.0000,140.5820,1041.3934
21,7.2000,152.9353,1188.1521
22,7.4000,165.9892,1347.6143
23,7.6000,179.7629,1520.4904
24,7.8000,194.2754,1707.5095
25,8.0000,209.5455,1909.4200
26,7.8667,199.2803,2113.8329
27,7.7333,189.3546,2308.1503
28,7.6000,179.7629,2492.7091
29,7.4667,170.4996,2667.8403
30,7.3333,161.5589,2833.8696
31,7.2000,152.9353,2991.1167
32,7.0667,144.6231,3139.8958
33,6.9333,136.6166,3280.5157
34,6.8000,128.9103,3413.2791
35,6.6667,121.4984,3538.4835
36,6.5333,114.3753,3656.4204
37,6.4000,107.5354,3767.3757
38,6.2667,100.9729,3871.6298
39,6.1333,94.6821,3969.4573
40,6.0000,88.6575,4061.1271
41,6.3333,104.2198,4157.5658
42,6.6667,121.4984,4270.4249
43,7.0000,140.5820,4401.4651
44,7.3333,161.5589,4552.5355
45,7.6667,184.5174,4725.5736
46,8.0000,209.5455,4922.6051
47,8.3333,236.7312,5145.7434
48,8.6667,266.1620,5397.1900
49,9.0000,297.9256,5679.2338
50,9.3333,332.1094,5994.2513
51,9.6667,368.8004,6344.7062
52,10.0000,408.0857,6733.1493
53,10.3333,450.0522,7162.2182
54,10.6667,494.7864,7634.6375
55,11.0000,542.3749,8153.2181
56,10.8667,522.9915,8685.9013
57,10.7333,504.0730,9199.4335
58,10.6000,485.6140,9694.2770
59,10.4667,467.6089,10170.8884
60,10.3333,450.0522,10629.7190
61,10.2000,432.9383,11071.2142
62,10.0667,416.2617,11495.8142
63,9.9333,400.0169,11903.9535
64,9.8000,384.1983,12296.0612
