omega_over_omega0,A_zeta_0p10,A_zeta_0p25,A_zeta_0p50,A_zeta_0p71
0.00,1.00000,1.00000,1.00000,1.00000
0.10,1.00989,1.00882,1.00499,0.99995
0.20,1.04076,1.03606,1.01977,0.99920
0.30,1.09652,1.08427,1.04365,0.99598
0.40,1.18511,1.15810,1.07483,0.98744
0.50,1.32164,1.26491,1.10940,0.97015
0.60,1.53574,1.41478,1.13990,0.94089
0.70,1.89084,1.61669,1.15462,0.89800
0.80,2.53837,1.85824,1.13990,0.84228
0.90,3.82080,2.04722,1.08715,0.77707
0.95,4.68261,2.06227,1.04713,0.74238
1.00,5.00000,2.00000,1.00000,0.70711
1.05,4.27936,1.86947,0.94788,0.67184
1.10,3.28798,1.69858,0.89296,0.63705
1.20,1.99522,1.34401,0.78240,0.57040
1.30,1.35619,1.05491,0.67946,0.50925
1.50,0.77791,0.68599,0.51215,0.40614
1.75,0.47801,0.44634,0.36970,0.31040
2.00,0.33041,0.31623,0.27735,0.24254
2.50,0.18962,0.18530,0.17197,0.15799
3.00,0.12465,0.12286,0.11704,0.11043
