N1,N2,N3,N4,S1,S2,S3,S4
126.830,124.406,127.462,123.875,112.580,116.944,109.465,110.382
133.644,137.360,135.268,136.640,114.789,117.928,103.752,114.231
149.582,148.662,147.464,149.467,133.322,135.126,118.497,132.443
146.492,147.782,151.654,149.481,135.267,138.305,126.691,133.019
156.386,155.569,158.867,157.483,142.857,146.424,134.584,143.690
157.845,155.273,158.844,155.130,147.788,155.516,140.994,149.483
159.084,160.323,163.924,158.256,149.879,153.046,140.639,148.230
149.808,146.430,152.187,148.287,148.738,154.610,142.332,145.554
148.635,145.719,151.441,145.125,144.223,148.797,142.574,144.642
139.118,134.626,141.179,134.819,145.208,150.317,141.326,143.622
136.660,130.142,136.679,130.698,144.071,147.420,141.540,144.216
126.631,122.259,129.332,123.707,146.550,147.420,138.949,142.559
115.758,112.586,119.425,112.572,138.806,138.284,135.513,135.003
109.688,105.033,113.449,103.620,136.403,137.583,141.156,135.811
104.011,99.698,106.271,102.201,122.304,123.439,124.056,122.907
92.500,89.425,98.665,92.962,113.731,112.755,114.098,112.546
90.977,88.281,94.301,86.662,112.632,113.093,113.034,110.319
92.443,91.492,92.507,89.920,105.926,105.139,105.559,104.463
92.034,89.628,94.021,92.066,105.071,103.770,103.169,101.443
103.739,103.436,105.173,104.526,102.589,107.483,101.870,102.134
101.022,101.753,103.092,105.168,106.109,105.037,103.728,104.089
105.054,103.950,106.722,107.773,103.516,102.840,97.899,104.291
119.365,118.062,119.841,119.644,113.789,115.104,104.768,110.867
123.346,122.385,126.048,126.821,113.145,117.160,108.524,113.446
133.329,134.500,135.198,135.002,119.950,123.541,112.737,117.342
149.969,147.887,151.280,150.966,128.139,133.164,121.582,126.861
156.831,156.667,159.911,158.255,137.906,139.407,128.269,136.650
157.603,154.839,158.449,158.035,144.391,150.320,134.956,141.816
156.621,153.739,159.833,155.452,151.643,154.870,142.290,149.470
164.630,164.754,166.621,163.169,157.228,162.095,148.403,157.994
166.758,164.818,171.667,166.481,159.397,164.842,150.369,157.710
164.429,161.467,166.140,164.738,158.376,160.002,146.426,156.069
160.079,157.284,163.481,160.270,158.523,162.438,150.279,156.566
154.344,150.042,157.920,150.191,160.397,160.106,152.020,156.150
142.933,141.533,149.360,141.927,156.579,162.376,151.110,155.382
134.314,131.940,142.754,131.517,148.296,149.950,144.254,146.309
120.171,118.804,127.754,118.198,139.457,139.416,136.329,138.327
114.489,110.983,119.068,110.283,138.308,138.638,137.945,135.644
104.930,101.083,107.915,101.110,132.893,130.377,132.203,131.589
106.005,106.901,111.878,106.005,128.511,127.230,127.109,128.773
99.558,95.979,105.157,95.431,119.787,118.001,121.642,117.657
95.043,94.993,98.624,93.383,113.505,113.178,113.246,112.093
103.229,99.966,103.356,100.558,112.936,113.172,111.652,112.534
103.521,101.591,107.225,106.411,110.279,111.431,103.959,106.828
117.395,117.288,118.213,117.615,112.787,115.976,110.146,112.540
119.868,115.641,121.340,116.896,117.357,117.440,114.181,116.252
128.456,125.708,128.211,129.112,119.994,122.669,115.848,118.653
