scheme,r,t,x,u,u_exact
btcs,0.4,0.0,0.000000,0.000000,0.000000
btcs,0.4,0.0,0.020000,0.062791,0.062791
btcs,0.4,0.0,0.040000,0.125333,0.125333
btcs,0.4,0.0,0.060000,0.187381,0.187381
btcs,0.4,0.0,0.080000,0.248690,0.248690
btcs,0.4,0.0,0.100000,0.309017,0.309017
btcs,0.4,0.0,0.120000,0.368125,0.368125
btcs,0.4,0.0,0.140000,0.425779,0.425779
btcs,0.4,0.0,0.160000,0.481754,0.481754
btcs,0.4,0.0,0.180000,0.535827,0.535827
btcs,0.4,0.0,0.200000,0.587785,0.587785
btcs,0.4,0.0,0.220000,0.637424,0.637424
btcs,0.4,0.0,0.240000,0.684547,0.684547
btcs,0.4,0.0,0.260000,0.728969,0.728969
btcs,0.4,0.0,0.280000,0.770513,0.770513
btcs,0.4,0.0,0.300000,0.809017,0.809017
btcs,0.4,0.0,0.320000,0.844328,0.844328
btcs,0.4,0.0,0.340000,0.876307,0.876307
btcs,0.4,0.0,0.360000,0.904827,0.904827
btcs,0.4,0.0,0.380000,0.929776,0.929776
btcs,0.4,0.0,0.400000,0.951057,0.951057
btcs,0.4,0.0,0.420000,0.968583,0.968583
btcs,0.4,0.0,0.440000,0.982287,0.982287
btcs,0.4,0.0,0.460000,0.992115,0.992115
btcs,0.4,0.0,0.480000,0.998027,0.998027
btcs,0.4,0.0,0.500000,1.000000,1.000000
btcs,0.4,0.0,0.520000,0.998027,0.998027
btcs,0.4,0.0,0.540000,0.992115,0.992115
btcs,0.4,0.0,0.560000,0.982287,0.982287
btcs,0.4,0.0,0.580000,0.968583,0.968583
btcs,0.4,0.0,0.600000,0.951057,0.951057
btcs,0.4,0.0,0.620000,0.929776,0.929776
btcs,0.4,0.0,0.640000,0.904827,0.904827
btcs,0.4,0.0,0.660000,0.876307,0.876307
btcs,0.4,0.0,0.680000,0.844328,0.844328
btcs,0.4,0.0,0.700000,0.809017,0.809017
btcs,0.4,0.0,0.720000,0.770513,0.770513
btcs,0.4,0.0,0.740000,0.728969,0.728969
btcs,0.4,0.0,0.760000,0.684547,0.684547
btcs,0.4,0.0,0.780000,0.637424,0.637424
btcs,0.4,0.0,0.800000,0.587785,0.587785
btcs,0.4,0.0,0.820000,0.535827,0.535827
btcs,0.4,0.0,0.840000,0.481754,0.481754
btcs,0.4,0.0,0.860000,0.425779,0.425779
btcs,0.4,0.0,0.880000,0.368125,0.368125
btcs,0.4,0.0,0.900000,0.309017,0.309017
btcs,0.4,0.0,0.920000,0.248690,0.248690
btcs,0.4,0.0,0.940000,0.187381,0.187381
btcs,0.4,0.0,0.960000,0.125333,0.125333
btcs,0.4,0.0,0.980000,0.062791,0.062791
btcs,0.4,0.0,1.000000,0.000000,0.000000
btcs,0.4,0.125,0.000000,0.000000,0.000000
btcs,0.4,0.125,0.020000,0.018318,0.018285
btcs,0.4,0.125,0.040000,0.036563,0.036499
btcs,0.4,0.125,0.060000,0.054665,0.054568
btcs,0.4,0.125,0.080000,0.072550,0.072422
btcs,0.4,0.125,0.100000,0.090149,0.089990
btcs,0.4,0.125,0.120000,0.107393,0.107203
btcs,0.4,0.125,0.140000,0.124212,0.123992
btcs,0.4,0.125,0.160000,0.140542,0.140293
btcs,0.4,0.125,0.180000,0.156317,0.156040
btcs,0.4,0.125,0.200000,0.171474,0.171171
btcs,0.4,0.125,0.220000,0.185955,0.185626
btcs,0.4,0.125,0.240000,0.199703,0.199349
btcs,0.4,0.125,0.260000,0.212662,0.212285
btcs,0.4,0.125,0.280000,0.224782,0.224383
btcs,0.4,0.125,0.300000,0.236014,0.235596
btcs,0.4,0.125,0.320000,0.246315,0.245879
btcs,0.4,0.125,0.340000,0.255645,0.255192
btcs,0.4,0.125,0.360000,0.263965,0.263497
btcs,0.4,0.125,0.380000,0.271243,0.270763
btcs,0.4,0.125,0.400000,0.277451,0.276960
btcs,0.4,0.125,0.420000,0.282564,0.282064
btcs,0.4,0.125,0.440000,0.286562,0.286055
btcs,0.4,0.125,0.460000,0.289429,0.288917
btcs,0.4,0.125,0.480000,0.291154,0.290638
btcs,0.4,0.125,0.500000,0.291730,0.291213
btcs,0.4,0.125,0.520000,0.291154,0.290638
btcs,0.4,0.125,0.540000,0.289429,0.288917
btcs,0.4,0.125,0.560000,0.286562,0.286055
btcs,0.4,0.125,0.580000,0.282564,0.282064
btcs,0.4,0.125,0.600000,0.277451,0.276960
btcs,0.4,0.125,0.620000,0.271243,0.270763
btcs,0.4,0.125,0.640000,0.263965,0.263497
btcs,0.4,0.125,0.660000,0.255645,0.255192
btcs,0.4,0.125,0.680000,0.246315,0.245879
btcs,0.4,0.125,0.700000,0.236014,0.235596
btcs,0.4,0.125,0.720000,0.224782,0.224383
btcs,0.4,0.125,0.740000,0.212662,0.212285
btcs,0.4,0.125,0.760000,0.199703,0.199349
btcs,0.4,0.125,0.780000,0.185955,0.185626
btcs,0.4,0.125,0.800000,0.171474,0.171171
btcs,0.4,0.125,0.820000,0.156317,0.156040
btcs,0.4,0.125,0.840000,0.140542,0.140293
btcs,0.4,0.125,0.860000,0.124212,0.123992
btcs,0.4,0.125,0.880000,0.107393,0.107203
btcs,0.4,0.125,0.900000,0.090149,0.089990
btcs,0.4,0.125,0.920000,0.072550,0.072422
btcs,0.4,0.125,0.940000,0.054665,0.054568
btcs,0.4,0.125,0.960000,0.036563,0.036499
btcs,0.4,0.125,0.980000,0.018318,0.018285
btcs,0.4,0.125,1.000000,0.000000,0.000000
btcs,0.4,0.25,0.000000,0.000000,0.000000
btcs,0.4,0.25,0.020000,0.005344,0.005325
btcs,0.4,0.25,0.040000,0.010667,0.010629
btcs,0.4,0.25,0.060000,0.015947,0.015891
btcs,0.4,0.25,0.080000,0.021165,0.021090
btcs,0.4,0.25,0.100000,0.026299,0.026206
btcs,0.4,0.25,0.120000,0.031330,0.031219
btcs,0.4,0.25,0.140000,0.036236,0.036108
btcs,0.4,0.25,0.160000,0.041000,0.040855
btcs,0.4,0.25,0.180000,0.045602,0.045441
btcs,0.4,0.25,0.200000,0.050024,0.049847
btcs,0.4,0.25,0.220000,0.054249,0.054057
btcs,0.4,0.25,0.240000,0.058259,0.058053
btcs,0.4,0.25,0.260000,0.062040,0.061820
btcs,0.4,0.25,0.280000,0.065575,0.065343
btcs,0.4,0.25,0.300000,0.068852,0.068609
btcs,0.4,0.25,0.320000,0.071858,0.071603
btcs,0.4,0.25,0.340000,0.074579,0.074315
btcs,0.4,0.25,0.360000,0.077006,0.076734
btcs,0.4,0.25,0.380000,0.079130,0.078850
btcs,0.4,0.25,0.400000,0.080941,0.080654
btcs,0.4,0.25,0.420000,0.082432,0.082141
btcs,0.4,0.25,0.440000,0.083599,0.083303
btcs,0.4,0.25,0.460000,0.084435,0.084136
btcs,0.4,0.25,0.480000,0.084938,0.084638
btcs,0.4,0.25,0.500000,0.085106,0.084805
btcs,0.4,0.25,0.520000,0.084938,0.084638
btcs,0.4,0.25,0.540000,0.084435,0.084136
btcs,0.4,0.25,0.560000,0.083599,0.083303
btcs,0.4,0.25,0.580000,0.082432,0.082141
btcs,0.4,0.25,0.600000,0.080941,0.080654
btcs,0.4,0.25,0.620000,0.079130,0.078850
btcs,0.4,0.25,0.640000,0.077006,0.076734
btcs,0.4,0.25,0.660000,0.074579,0.074315
btcs,0.4,0.25,0.680000,0.071858,0.071603
btcs,0.4,0.25,0.700000,0.068852,0.068609
btcs,0.4,0.25,0.720000,0.065575,0.065343
btcs,0.4,0.25,0.740000,0.062040,0.061820
btcs,0.4,0.25,0.760000,0.058259,0.058053
btcs,0.4,0.25,0.780000,0.054249,0.054057
btcs,0.4,0.25,0.800000,0.050024,0.049847
btcs,0.4,0.25,0.820000,0.045602,0.045441
btcs,0.4,0.25,0.840000,0.041000,0.040855
btcs,0.4,0.25,0.860000,0.036236,0.036108
btcs,0.4,0.25,0.880000,0.031330,0.031219
btcs,0.4,0.25,0.900000,0.026299,0.026206
btcs,0.4,0.25,0.920000,0.021165,0.021090
btcs,0.4,0.25,0.940000,0.015947,0.015891
btcs,0.4,0.25,0.960000,0.010667,0.010629
btcs,0.4,0.25,0.980000,0.005344,0.005325
btcs,0.4,0.25,1.000000,0.000000,0.000000
btcs,0.4,0.5,0.000000,0.000000,0.000000
btcs,0.4,0.5,0.020000,0.000454,0.000452
btcs,0.4,0.5,0.040000,0.000906,0.000901
btcs,0.4,0.5,0.060000,0.001355,0.001348
btcs,0.4,0.5,0.080000,0.001798,0.001789
btcs,0.4,0.5,0.100000,0.002235,0.002222
btcs,0.4,0.5,0.120000,0.002662,0.002648
btcs,0.4,0.5,0.140000,0.003079,0.003062
btcs,0.4,0.5,0.160000,0.003484,0.003465
btcs,0.4,0.5,0.180000,0.003875,0.003854
btcs,0.4,0.5,0.200000,0.004251,0.004227
btcs,0.4,0.5,0.220000,0.004610,0.004584
btcs,0.4,0.5,0.240000,0.004950,0.004923
btcs,0.4,0.5,0.260000,0.005272,0.005243
btcs,0.4,0.5,0.280000,0.005572,0.005541
btcs,0.4,0.5,0.300000,0.005851,0.005818
btcs,0.4,0.5,0.320000,0.006106,0.006072
btcs,0.4,0.5,0.340000,0.006337,0.006302
btcs,0.4,0.5,0.360000,0.006543,0.006507
btcs,0.4,0.5,0.380000,0.006724,0.006687
btcs,0.4,0.5,0.400000,0.006878,0.006840
btcs,0.4,0.5,0.420000,0.007004,0.006966
btcs,0.4,0.5,0.440000,0.007104,0.007064
btcs,0.4,0.5,0.460000,0.007175,0.007135
btcs,0.4,0.5,0.480000,0.007217,0.007178
btcs,0.4,0.5,0.500000,0.007232,0.007192
btcs,0.4,0.5,0.520000,0.007217,0.007178
btcs,0.4,0.5,0.540000,0.007175,0.007135
btcs,0.4,0.5,0.560000,0.007104,0.007064
btcs,0.4,0.5,0.580000,0.007004,0.006966
btcs,0.4,0.5,0.600000,0.006878,0.006840
btcs,0.4,0.5,0.620000,0.006724,0.006687
btcs,0.4,0.5,0.640000,0.006543,0.006507
btcs,0.4,0.5,0.660000,0.006337,0.006302
btcs,0.4,0.5,0.680000,0.006106,0.006072
btcs,0.4,0.5,0.700000,0.005851,0.005818
btcs,0.4,0.5,0.720000,0.005572,0.005541
btcs,0.4,0.5,0.740000,0.005272,0.005243
btcs,0.4,0.5,0.760000,0.004950,0.004923
btcs,0.4,0.5,0.780000,0.004610,0.004584
btcs,0.4,0.5,0.800000,0.004251,0.004227
btcs,0.4,0.5,0.820000,0.003875,0.003854
btcs,0.4,0.5,0.840000,0.003484,0.003465
btcs,0.4,0.5,0.860000,0.003079,0.003062
btcs,0.4,0.5,0.880000,0.002662,0.002648
btcs,0.4,0.5,0.900000,0.002235,0.002222
btcs,0.4,0.5,0.920000,0.001798,0.001789
btcs,0.4,0.5,0.940000,0.001355,0.001348
btcs,0.4,0.5,0.960000,0.000906,0.000901
btcs,0.4,0.5,0.980000,0.000454,0.000452
btcs,0.4,0.5,1.000000,0.000000,0.000000
btcs,5.0,0.0,0.000000,0.000000,0.000000
btcs,5.0,0.0,0.020000,0.062791,0.062791
btcs,5.0,0.0,0.040000,0.125333,0.125333
btcs,5.0,0.0,0.060000,0.187381,0.187381
btcs,5.0,0.0,0.080000,0.248690,0.248690
btcs,5.0,0.0,0.100000,0.309017,0.309017
btcs,5.0,0.0,0.120000,0.368125,0.368125
btcs,5.0,0.0,0.140000,0.425779,0.425779
btcs,5.0,0.0,0.160000,0.481754,0.481754
btcs,5.0,0.0,0.180000,0.535827,0.535827
btcs,5.0,0.0,0.200000,0.587785,0.587785
btcs,5.0,0.0,0.220000,0.637424,0.637424
btcs,5.0,0.0,0.240000,0.684547,0.684547
btcs,5.0,0.0,0.260000,0.728969,0.728969
btcs,5.0,0.0,0.280000,0.770513,0.770513
btcs,5.0,0.0,0.300000,0.809017,0.809017
btcs,5.0,0.0,0.320000,0.844328,0.844328
btcs,5.0,0.0,0.340000,0.876307,0.876307
btcs,5.0,0.0,0.360000,0.904827,0.904827
btcs,5.0,0.0,0.380000,0.929776,0.929776
btcs,5.0,0.0,0.400000,0.951057,0.951057
btcs,5.0,0.0,0.420000,0.968583,0.968583
btcs,5.0,0.0,0.440000,0.982287,0.982287
btcs,5.0,0.0,0.460000,0.992115,0.992115
btcs,5.0,0.0,0.480000,0.998027,0.998027
btcs,5.0,0.0,0.500000,1.000000,1.000000
btcs,5.0,0.0,0.520000,0.998027,0.998027
btcs,5.0,0.0,0.540000,0.992115,0.992115
btcs,5.0,0.0,0.560000,0.982287,0.982287
btcs,5.0,0.0,0.580000,0.968583,0.968583
btcs,5.0,0.0,0.600000,0.951057,0.951057
btcs,5.0,0.0,0.620000,0.929776,0.929776
btcs,5.0,0.0,0.640000,0.904827,0.904827
btcs,5.0,0.0,0.660000,0.876307,0.876307
btcs,5.0,0.0,0.680000,0.844328,0.844328
btcs,5.0,0.0,0.700000,0.809017,0.809017
btcs,5.0,0.0,0.720000,0.770513,0.770513
btcs,5.0,0.0,0.740000,0.728969,0.728969
btcs,5.0,0.0,0.760000,0.684547,0.684547
btcs,5.0,0.0,0.780000,0.637424,0.637424
btcs,5.0,0.0,0.800000,0.587785,0.587785
btcs,5.0,0.0,0.820000,0.535827,0.535827
btcs,5.0,0.0,0.840000,0.481754,0.481754
btcs,5.0,0.0,0.860000,0.425779,0.425779
btcs,5.0,0.0,0.880000,0.368125,0.368125
