material_pair,condition,mu_static,mu_kinetic,source_note
steel on steel,dry,0.60,0.40,working figure Meriam-Kraige 2018
steel on steel,greasy,0.10,0.08,working figure Meriam-Kraige 2018
aluminium on steel,dry,0.61,0.47,working figure Meriam-Kraige 2018
rubber on dry concrete,dry,1.00,0.70,tyre on road, dry
rubber on wet concrete,wet,0.70,0.50,tyre on road, wet
wood on concrete,dry,0.50,0.40,ladder foot / crate slide
wood on wood,dry,0.40,0.30,furniture on floor
PTFE on steel,dry,0.04,0.04,low-friction bearing surface
ice on steel,dry,0.03,0.02,skate blade regime
leather on metal,dry,0.40,0.30,belt-drive friction estimate
