member,joint_i,joint_j,type,force_kN,sense
L0-L1,L0,L1,bottom_chord,50.000,tension
L1-L2,L1,L2,bottom_chord,50.000,tension
L2-L3,L2,L3,bottom_chord,80.000,tension
L3-L4,L3,L4,bottom_chord,80.000,tension
L4-L5,L4,L5,bottom_chord,50.000,tension
L5-L6,L5,L6,bottom_chord,50.000,tension
U1-U2,U1,U2,top_chord,-80.000,compression
U2-U3,U2,U3,top_chord,-90.000,compression
U3-U4,U3,U4,top_chord,-90.000,compression
U4-U5,U4,U5,top_chord,-80.000,compression
L0-U1,L0,U1,end_post,-70.711,compression
L6-U5,L6,U5,end_post,-70.711,compression
U1-L1,U1,L1,vertical,20.000,tension
U2-L2,U2,L2,vertical,-10.000,compression
U3-L3,U3,L3,vertical,0.000,zero
U4-L4,U4,L4,vertical,-10.000,compression
U5-L5,U5,L5,vertical,20.000,tension
U1-L2,U1,L2,diagonal,42.426,tension
U2-L3,U2,L3,diagonal,14.142,tension
L3-U4,L3,U4,diagonal,14.142,tension
L4-U5,L4,U5,diagonal,42.426,tension
