t_s,theta1_rad,theta2_rad,omega1_rad_s,omega2_rad_s,energy_J,energy_drift_rel
0.000000e+00,2.094395e+00,-1.745329e-01,0.000000e+00,0.000000e+00,1.490359e-01,0.000000e+00
1.000000e-02,2.093894e+00,-1.747696e-01,-1.001734e-01,-4.731532e-02,1.490359e-01,-1.190036e-13
2.000000e-02,2.092392e+00,-1.754784e-01,-2.003209e-01,-9.437395e-02,1.490359e-01,-3.346627e-13
3.000000e-02,2.089888e+00,-1.766554e-01,-3.004163e-01,-1.409187e-01,1.490359e-01,-7.685882e-13
4.000000e-02,2.086384e+00,-1.782942e-01,-4.004322e-01,-1.866915e-01,1.490359e-01,-1.347218e-12
5.000000e-02,2.081880e+00,-1.803858e-01,-5.003399e-01,-2.314329e-01,1.490359e-01,-2.070365e-12
6.000000e-02,2.076377e+00,-1.829185e-01,-6.001088e-01,-2.748817e-01,1.490359e-01,-2.834856e-12
7.000000e-02,2.069878e+00,-1.858782e-01,-6.997062e-01,-3.167745e-01,1.490359e-01,-3.763791e-12
8.000000e-02,2.062384e+00,-1.892479e-01,-7.990968e-01,-3.568458e-01,1.490359e-01,-4.690120e-12
9.000000e-02,2.053897e+00,-1.930082e-01,-8.982426e-01,-3.948272e-01,1.490359e-01,-5.423137e-12
1.000000e-01,2.044420e+00,-1.971366e-01,-9.971024e-01,-4.304479e-01,1.490359e-01,-6.071977e-12
1.100000e-01,2.033956e+00,-2.016083e-01,-1.095632e+00,-4.634344e-01,1.490359e-01,-6.591942e-12
1.200000e-01,2.022509e+00,-2.063956e-01,-1.193786e+00,-4.935106e-01,1.490359e-01,-6.834047e-12
1.300000e-01,2.010082e+00,-2.114679e-01,-1.291512e+00,-5.203982e-01,1.490359e-01,-6.676120e-12
1.400000e-01,1.996680e+00,-2.167920e-01,-1.388760e+00,-5.438170e-01,1.490359e-01,-6.008657e-12
1.500000e-01,1.982308e+00,-2.223318e-01,-1.485476e+00,-5.634853e-01,1.490359e-01,-4.727367e-12
1.600000e-01,1.966972e+00,-2.280483e-01,-1.581603e+00,-5.791209e-01,1.490359e-01,-2.690710e-12
1.700000e-01,1.950678e+00,-2.338998e-01,-1.677086e+00,-5.904417e-01,1.490359e-01,2.979746e-13
1.800000e-01,1.933433e+00,-2.398418e-01,-1.771871e+00,-5.971666e-01,1.490359e-01,4.320631e-12
1.900000e-01,1.915243e+00,-2.458269e-01,-1.865903e+00,-5.990166e-01,1.490359e-01,9.532206e-12
2.000000e-01,1.896118e+00,-2.518050e-01,-1.959133e+00,-5.957161e-01,1.490359e-01,1.609361e-11
2.100000e-01,1.876064e+00,-2.577231e-01,-2.051517e+00,-5.869942e-01,1.490359e-01,2.428493e-11
2.200000e-01,1.855090e+00,-2.635259e-01,-2.143016e+00,-5.725855e-01,1.490359e-01,3.420152e-11
2.300000e-01,1.833206e+00,-2.691550e-01,-2.233602e+00,-5.522317e-01,1.490359e-01,4.604303e-11
2.400000e-01,1.810421e+00,-2.745499e-01,-2.323259e+00,-5.256829e-01,1.490359e-01,6.005975e-11
2.500000e-01,1.786744e+00,-2.796472e-01,-2.411984e+00,-4.926981e-01,1.490359e-01,7.647815e-11
2.600000e-01,1.762185e+00,-2.843816e-01,-2.499792e+00,-4.530461e-01,1.490359e-01,9.544721e-11
2.700000e-01,1.736751e+00,-2.886852e-01,-2.586719e+00,-4.065061e-01,1.490359e-01,1.172828e-10
