omega_rad_s,omega_over_crit,theta_eq_deg,stable
9.0416,0.50,0.000,1
9.0416,0.50,180.000,0
14.4665,0.80,0.000,1
14.4665,0.80,180.000,0
18.0831,1.00,0.000,0
18.0831,1.00,180.000,0
18.0831,1.00,0.000,1
18.0831,1.00,-0.000,1
21.6998,1.20,0.000,0
21.6998,1.20,180.000,0
21.6998,1.20,46.017,1
21.6998,1.20,-46.017,1
27.1247,1.50,0.000,0
27.1247,1.50,180.000,0
27.1247,1.50,63.612,1
27.1247,1.50,-63.612,1
36.1663,2.00,0.000,0
36.1663,2.00,180.000,0
36.1663,2.00,75.522,1
36.1663,2.00,-75.522,1
