time_s,accel_g
0.000000,1.346905
0.000500,1.060783
0.001000,0.911152
0.001500,0.673292
0.002000,0.602812
0.002500,0.756259
0.003000,0.735336
0.003500,0.695485
0.004000,0.397791
0.004500,0.104201
0.005000,-0.125155
0.005500,-0.212629
0.006000,-0.146181
0.006500,-0.222804
0.007000,-0.346153
0.007500,-0.628837
0.008000,-0.836679
0.008500,-0.932982
0.009000,-0.916837
0.009500,-0.827163
0.010000,-0.783351
0.010500,-0.851927
0.011000,-0.966211
0.011500,-0.991205
0.012000,-0.923621
0.012500,-0.770483
0.013000,-0.560449
0.013500,-0.465694
0.014000,-0.386829
0.014500,-0.372239
0.015000,-0.288368
0.015500,-0.081756
0.016000,0.114684
0.016500,0.336576
0.017000,0.419920
0.017500,0.474913
0.018000,0.505207
0.018500,0.611474
0.019000,0.751530
0.019500,0.862654
0.020000,0.947959
0.020500,0.923723
0.021000,0.861427
0.021500,0.783453
0.022000,0.745937
0.022500,0.747623
0.023000,0.749790
0.023500,0.687373
0.024000,0.522580
0.024500,0.344373
0.025000,0.224481
0.025500,0.106755
0.026000,0.029692
0.026500,-0.061798
0.027000,-0.199686
0.027500,-0.363599
0.028000,-0.526421
0.028500,-0.610919
0.029000,-0.669582
0.029500,-0.683425
0.030000,-0.733684
0.030500,-0.803735
0.031000,-0.841367
0.031500,-0.847756
0.032000,-0.840345
0.032500,-0.773185
0.033000,-0.688648
0.033500,-0.610729
0.034000,-0.541875
0.034500,-0.484886
0.035000,-0.364354
0.035500,-0.252626
0.036000,-0.099718
0.036500,0.054628
0.037000,0.170126
0.037500,0.244304
0.038000,0.336293
0.038500,0.438263
0.039000,0.537808
0.039500,0.623635
0.040000,0.721019
0.040500,0.759109
0.041000,0.761709
0.041500,0.745590
0.042000,0.751512
0.042500,0.743645
0.043000,0.724780
0.043500,0.687874
0.044000,0.606435
0.044500,0.496841
0.045000,0.394318
0.045500,0.301759
0.046000,0.203245
0.046500,0.101647
0.047000,-0.020948
0.047500,-0.141256
0.048000,-0.239955
