freq_hz,amp_mm_s
0.00,0.03789
0.25,0.02437
0.50,0.02096
0.75,0.03863
1.00,0.02277
1.25,0.02355
1.50,0.02083
1.75,0.02627
2.00,0.02044
2.25,0.02477
2.50,0.03314
2.75,0.02885
3.00,0.02881
3.25,0.03710
3.50,0.02050
3.75,0.02405
4.00,0.02545
4.25,0.03546
4.50,0.02982
4.75,0.03101
5.00,0.03185
5.25,0.02206
5.50,0.03486
5.75,0.02237
6.00,0.03024
6.25,0.02713
6.50,0.02625
6.75,0.02161
7.00,0.02769
7.25,0.02230
7.50,0.02745
7.75,0.03976
8.00,0.03244
8.25,0.02626
8.50,0.02804
8.75,0.04419
9.00,0.02924
9.25,0.03024
9.50,0.03124
9.75,0.02132
10.00,0.03623
10.25,0.02647
10.50,0.02356
10.75,0.03743
11.00,0.02597
11.25,0.02591
11.50,0.02932
11.75,0.02689
12.00,0.07989
12.25,0.12867
12.50,0.18013
12.75,0.13453
13.00,0.06848
13.25,0.03778
13.50,0.03546
13.75,0.03121
14.00,0.02846
14.25,0.03861
14.50,0.02603
14.75,0.03914
15.00,0.03048
15.25,0.03334
15.50,0.02197
15.75,0.03775
16.00,0.02675
16.25,0.02151
16.50,0.02153
16.75,0.03064
17.00,0.02438
17.25,0.03939
17.50,0.03025
17.75,0.02899
18.00,0.02155
18.25,0.03770
18.50,0.02484
18.75,0.02676
19.00,0.02643
19.25,0.02249
19.50,0.03396
19.75,0.03392
20.00,0.03371
20.25,0.02239
20.50,0.02614
20.75,0.02838
21.00,0.02145
21.25,0.03168
21.50,0.02024
21.75,0.02889
22.00,0.04916
22.25,0.02972
22.50,0.02591
22.75,0.02516
23.00,0.02960
23.25,0.02386
23.50,0.02681
23.75,0.03019
24.00,0.07952
24.25,0.23546
24.50,0.57240
24.75,1.02867
25.00,1.22874
25.25,1.02003
25.50,0.57020
25.75,0.23255
26.00,0.08506
26.25,0.03058
26.50,0.02637
26.75,0.02739
27.00,0.02646
27.25,0.02313
27.50,0.02517
27.75,0.02189
28.00,0.02416
28.25,0.02725
28.50,0.02690
28.75,0.02486
29.00,0.02852
29.25,0.02486
29.50,0.02834
29.75,0.03345
30.00,0.02678
30.25,0.02426
30.50,0.02753
30.75,0.03744
31.00,0.02226
31.25,0.02287
31.50,0.02077
31.75,0.02276
32.00,0.02648
32.25,0.02737
32.50,0.02168
32.75,0.03909
33.00,0.02815
33.25,0.02520
33.50,0.02559
33.75,0.02478
34.00,0.02457
34.25,0.02859
34.50,0.02525
34.75,0.03676
35.00,0.02906
35.25,0.02088
35.50,0.02128
35.75,0.03242
36.00,0.02716
36.25,0.02731
36.50,0.02426
36.75,0.02149
37.00,0.02836
37.25,0.02492
37.50,0.02862
37.75,0.03072
38.00,0.03221
38.25,0.02060
38.50,0.02002
38.75,0.02425
39.00,0.02725
39.25,0.02035
39.50,0.02141
39.75,0.02997
40.00,0.02796
40.25,0.02073
40.50,0.02261
40.75,0.03298
41.00,0.04676
41.25,0.02071
41.50,0.03487
41.75,0.03409
42.00,0.03071
42.25,0.02371
42.50,0.02863
42.75,0.02648
43.00,0.02431
43.25,0.02540
43.50,0.02129
43.75,0.03622
44.00,0.03236
44.25,0.02141
44.50,0.03039
44.75,0.02632
45.00,0.03729
45.25,0.02694
45.50,0.02511
45.75,0.02123
46.00,0.04030
46.25,0.02961
46.50,0.03020
46.75,0.02271
47.00,0.02648
47.25,0.02560
47.50,0.02589
47.75,0.03550
48.00,0.02156
48.25,0.02434
48.50,0.03390
48.75,0.06517
49.00,0.15492
49.25,0.30791
49.50,0.53650
49.75,0.77539
50.00,0.87322
50.25,0.77163
50.50,0.53574
50.75,0.30079
51.00,0.14272
51.25,0.07101
51.50,0.04092
51.75,0.02296
52.00,0.02417
52.25,0.02391
52.50,0.02588
52.75,0.03911
53.00,0.02460
53.25,0.03991
53.50,0.02349
53.75,0.02253
54.00,0.03089
54.25,0.02024
54.50,0.02393
54.75,0.02241
55.00,0.02476
55.25,0.02166
55.50,0.02650
55.75,0.03631
56.00,0.02168
56.25,0.03723
56.50,0.04685
56.75,0.02018
57.00,0.02562
57.25,0.02294
57.50,0.03095
57.75,0.02640
58.00,0.02275
58.25,0.02435
58.50,0.04812
58.75,0.02252
59.00,0.02300
59.25,0.02440
59.50,0.02133
59.75,0.03289
60.00,0.02198
60.25,0.04458
60.50,0.03067
60.75,0.02641
61.00,0.03104
61.25,0.03882
61.50,0.02594
61.75,0.04071
62.00,0.03070
62.25,0.02167
62.50,0.03719
62.75,0.04359
63.00,0.02571
63.25,0.02266
63.50,0.02912
63.75,0.02156
64.00,0.02639
64.25,0.02654
64.50,0.04712
64.75,0.02627
65.00,0.02054
65.25,0.03315
65.50,0.02237
65.75,0.02885
66.00,0.02351
66.25,0.03627
66.50,0.03420
66.75,0.02766
67.00,0.02122
67.25,0.03157
67.50,0.03065
67.75,0.02872
68.00,0.03619
68.25,0.02513
