freq_hz,amp_ratio,phase_deg
1.0,1.0017,0.19
1.5,1.0039,0.29
2.0,1.0070,0.38
2.5,1.0109,0.48
3.0,1.0158,0.58
3.5,1.0217,0.68
4.0,1.0285,0.79
4.5,1.0363,0.89
5.0,1.0452,1.00
5.5,1.0552,1.11
6.0,1.0664,1.22
6.5,1.0789,1.34
7.0,1.0926,1.46
7.5,1.1078,1.59
8.0,1.1245,1.72
8.5,1.1428,1.86
9.0,1.1629,2.00
9.5,1.1850,2.15
10.0,1.2091,2.31
10.5,1.2356,2.48
11.0,1.2646,2.66
11.5,1.2964,2.85
12.0,1.3314,3.05
12.5,1.3700,3.27
13.0,1.4126,3.51
13.5,1.4597,3.77
14.0,1.5120,4.05
14.5,1.5703,4.35
15.0,1.6355,4.69
15.5,1.7089,5.07
16.0,1.7918,5.48
16.5,1.8861,5.95
17.0,1.9941,6.49
17.5,2.1189,7.10
18.0,2.2645,7.81
18.5,2.4362,8.64
19.0,2.6413,9.63
19.5,2.8901,10.83
20.0,3.1975,12.31
20.5,3.5855,14.18
21.0,4.0882,16.63
21.5,4.7600,19.95
22.0,5.6898,24.66
22.5,7.0206,31.77
23.0,8.9315,43.22
23.5,11.2966,62.24
24.0,12.5000,90.00
24.5,10.8838,117.27
25.0,8.3974,135.59
25.5,6.4763,146.60
26.0,5.1535,153.47
26.5,4.2317,158.05
27.0,3.5656,161.28
27.5,3.0667,163.67
28.0,2.6811,165.51
28.5,2.3752,166.96
29.0,2.1271,168.13
29.5,1.9222,169.10
30.0,1.7503,169.92
30.5,1.6042,170.61
31.0,1.4785,171.21
31.5,1.3694,171.73
32.0,1.2738,172.19
32.5,1.1894,172.60
33.0,1.1143,172.96
33.5,1.0472,173.28
34.0,0.9869,173.58
34.5,0.9323,173.85
35.0,0.8828,174.09
35.5,0.8377,174.31
36.0,0.7963,174.52
36.5,0.7584,174.71
37.0,0.7235,174.88
37.5,0.6912,175.04
38.0,0.6613,175.20
38.5,0.6335,175.34
39.0,0.6076,175.47
39.5,0.5835,175.59
40.0,0.5609,175.71
40.5,0.5398,175.82
41.0,0.5199,175.93
41.5,0.5013,176.02
42.0,0.4837,176.12
42.5,0.4672,176.21
43.0,0.4515,176.29
43.5,0.4367,176.37
44.0,0.4227,176.45
44.5,0.4094,176.52
45.0,0.3968,176.59
45.5,0.3848,176.65
46.0,0.3734,176.72
46.5,0.3625,176.78
47.0,0.3522,176.84
47.5,0.3423,176.89
48.0,0.3329,176.95
48.5,0.3238,177.00
49.0,0.3152,177.05
49.5,0.3069,177.10
50.0,0.2990,177.14
50.5,0.2914,177.19
51.0,0.2841,177.23
51.5,0.2771,177.27
52.0,0.2704,177.31
52.5,0.2639,177.35
53.0,0.2577,177.39
53.5,0.2517,177.43
54.0,0.2459,177.46
54.5,0.2403,177.50
55.0,0.2350,177.53
55.5,0.2298,177.56
56.0,0.2248,177.59
56.5,0.2200,177.63
57.0,0.2153,177.66
57.5,0.2108,177.68
58.0,0.2064,177.71
58.5,0.2022,177.74
59.0,0.1981,177.77
59.5,0.1942,177.79
60.0,0.1903,177.82
60.5,0.1866,177.84
61.0,0.1830,177.87
61.5,0.1795,177.89
62.0,0.1761,177.91
62.5,0.1728,177.94
63.0,0.1697,177.96
63.5,0.1666,177.98
64.0,0.1635,178.00
64.5,0.1606,178.02
65.0,0.1578,178.04
65.5,0.1550,178.06
66.0,0.1523,178.08
66.5,0.1497,178.10
67.0,0.1471,178.12
67.5,0.1446,178.14
68.0,0.1422,178.15
68.5,0.1399,178.17
69.0,0.1376,178.19
69.5,0.1353,178.20
70.0,0.1331,178.22
70.5,0.1310,178.24
71.0,0.1289,178.25
71.5,0.1269,178.27
72.0,0.1249,178.28
72.5,0.1230,178.30
73.0,0.1211,178.31
73.5,0.1193,178.33
74.0,0.1175,178.34
74.5,0.1157,178.35
75.0,0.1140,178.37
75.5,0.1124,178.38
76.0,0.1107,178.39
76.5,0.1091,178.41
77.0,0.1076,178.42
77.5,0.1060,178.43
78.0,0.1045,178.44
78.5,0.1031,178.45
79.0,0.1016,178.47
79.5,0.1002,178.48
80.0,0.0989,178.49
80.5,0.0975,178.50
81.0,0.0962,178.51
81.5,0.0949,178.52
82.0,0.0937,178.53
82.5,0.0924,178.54
83.0,0.0912,178.55
83.5,0.0900,178.56
84.0,0.0889,178.57
84.5,0.0877,178.58
85.0,0.0866,178.59
85.5,0.0855,178.60
86.0,0.0844,178.61
86.5,0.0834,178.62
87.0,0.0823,178.63
87.5,0.0813,178.64
88.0,0.0803,178.65
88.5,0.0794,178.66
89.0,0.0784,178.67
89.5,0.0775,178.68
90.0,0.0765,178.68
90.5,0.0756,178.69
91.0,0.0747,178.70
91.5,0.0739,178.71
92.0,0.0730,178.72
92.5,0.0722,178.73
93.0,0.0713,178.73
93.5,0.0705,178.74
94.0,0.0697,178.75
94.5,0.0689,178.76
95.0,0.0682,178.76
95.5,0.0674,178.77
96.0,0.0667,178.78
96.5,0.0659,178.79
97.0,0.0652,178.79
97.5,0.0645,178.80
98.0,0.0638,178.81
98.5,0.0631,178.81
99.0,0.0624,178.82
99.5,0.0618,178.83
100.0,0.0611,178.83
