frequency_hz,cumulative_count,nx,ny,nz,type
34.30,1,1,0,0,axial
42.88,2,0,1,0,axial
54.91,3,1,1,0,tangential
68.60,4,0,0,1,axial
68.60,5,2,0,0,axial
76.70,6,1,0,1,tangential
80.90,7,0,1,1,tangential
80.90,8,2,1,0,tangential
85.75,9,0,2,0,axial
87.87,10,1,1,1,oblique
92.36,11,1,2,0,tangential
97.02,12,2,0,1,tangential
102.90,13,3,0,0,axial
106.07,14,2,1,1,oblique
109.81,15,0,2,1,tangential
109.81,16,2,2,0,tangential
111.48,17,3,1,0,tangential
115.05,18,1,2,1,oblique
123.67,19,3,0,1,tangential
128.62,20,0,3,0,axial
129.48,21,2,2,1,oblique
130.89,22,3,1,1,oblique
133.12,23,1,3,0,tangential
133.95,24,3,2,0,tangential
137.20,25,0,0,2,axial
137.20,26,4,0,0,axial
141.42,27,1,0,2,tangential
143.74,28,0,1,2,tangential
143.74,29,4,1,0,tangential
145.78,30,0,3,1,tangential
145.78,31,2,3,0,tangential
147.78,32,1,1,2,oblique
149.76,33,1,3,1,oblique
150.49,34,3,2,1,oblique
153.39,35,2,0,2,tangential
153.39,36,4,0,1,tangential
159.27,37,2,1,2,oblique
159.27,38,4,1,1,oblique
161.11,39,2,3,1,oblique
161.79,40,0,2,2,tangential
161.79,41,4,2,0,tangential
164.72,42,3,3,0,tangential
165.39,43,1,2,2,oblique
171.50,44,0,4,0,axial
171.50,45,3,0,2,tangential
171.50,46,5,0,0,axial
174.90,47,1,4,0,tangential
175.74,48,2,2,2,oblique
175.74,49,4,2,1,oblique
176.78,50,3,1,2,oblique
176.78,51,5,1,0,tangential
178.43,52,3,3,1,oblique
184.71,53,0,4,1,tangential
184.71,54,2,4,0,tangential
184.71,55,5,0,1,tangential
187.87,56,1,4,1,oblique
188.06,57,0,3,2,tangential
188.06,58,4,3,0,tangential
189.62,59,5,1,1,oblique
191.17,60,1,3,2,oblique
191.74,61,3,2,2,oblique
191.74,62,5,2,0,tangential
194.03,63,4,0,2,tangential
197.04,64,2,4,1,oblique
198.71,65,4,1,2,oblique
