altitude_km,isa_pressure_kPa,isothermal_pressure_kPa,isa_temperature_K
0,101.325,101.325,288.15
1,89.875,90.345,281.65
2,79.495,80.560,275.15
3,70.109,71.829,268.65
4,61.640,64.044,262.15
5,54.020,57.103,255.65
6,47.181,50.916,249.15
7,41.061,45.399,242.65
8,35.600,40.481,236.15
9,30.742,36.095,229.65
10,26.436,32.185,223.15
11,22.632,28.700,216.65
12,19.330,25.592,216.65
13,16.510,22.821,216.65
14,14.102,20.350,216.65
15,12.045,18.147,216.65
16,10.287,16.182,216.65
17,8.787,14.430,216.65
18,7.505,12.868,216.65
19,6.410,11.475,216.65
20,5.475,10.233,216.65
22,3.999,8.140,219.65
24,2.933,6.476,225.25
26,2.160,5.152,230.85
28,1.598,4.099,236.45
30,1.187,3.261,242.05
32,0.868,2.595,228.65
