theta_deg,u_theta_m_s,Cp
0.0,-0.0,1.0
1.0,-0.349,0.9988
2.0,-0.698,0.9951
3.0,-1.0467,0.989
4.0,-1.3951,0.9805
5.0,-1.7431,0.9696
6.0,-2.0906,0.9563
7.0,-2.4374,0.9406
8.0,-2.7835,0.9225
9.0,-3.1287,0.9021
10.0,-3.473,0.8794
11.0,-3.8162,0.8544
12.0,-4.1582,0.8271
13.0,-4.499,0.7976
14.0,-4.8384,0.7659
15.0,-5.1764,0.7321
16.0,-5.5127,0.6961
17.0,-5.8474,0.6581
18.0,-6.1803,0.618
19.0,-6.5114,0.576
20.0,-6.8404,0.5321
21.0,-7.1674,0.4863
22.0,-7.4921,0.4387
23.0,-7.8146,0.3893
24.0,-8.1347,0.3383
25.0,-8.4524,0.2856
26.0,-8.7674,0.2313
27.0,-9.0798,0.1756
28.0,-9.3894,0.1184
29.0,-9.6962,0.0598
30.0,-10.0,0.0
31.0,-10.3008,-0.0611
32.0,-10.5984,-0.1233
33.0,-10.8928,-0.1865
34.0,-11.1839,-0.2508
35.0,-11.4715,-0.316
36.0,-11.7557,-0.382
37.0,-12.0363,-0.4487
38.0,-12.3132,-0.5162
39.0,-12.5864,-0.5842
40.0,-12.8558,-0.6527
41.0,-13.1212,-0.7217
42.0,-13.3826,-0.7909
43.0,-13.64,-0.8605
44.0,-13.8932,-0.9302
45.0,-14.1421,-1.0
46.0,-14.3868,-1.0698
47.0,-14.6271,-1.1395
48.0,-14.8629,-1.2091
49.0,-15.0942,-1.2783
50.0,-15.3209,-1.3473
51.0,-15.5429,-1.4158
52.0,-15.7602,-1.4838
53.0,-15.9727,-1.5513
54.0,-16.1803,-1.618
55.0,-16.383,-1.684
56.0,-16.5808,-1.7492
57.0,-16.7734,-1.8135
58.0,-16.961,-1.8767
59.0,-17.1433,-1.9389
60.0,-17.3205,-2.0
61.0,-17.4924,-2.0598
62.0,-17.659,-2.1184
63.0,-17.8201,-2.1756
64.0,-17.9759,-2.2313
65.0,-18.1262,-2.2856
66.0,-18.2709,-2.3383
67.0,-18.4101,-2.3893
68.0,-18.5437,-2.4387
69.0,-18.6716,-2.4863
70.0,-18.7939,-2.5321
71.0,-18.9104,-2.576
72.0,-19.0211,-2.618
73.0,-19.1261,-2.6581
74.0,-19.2252,-2.6961
75.0,-19.3185,-2.7321
76.0,-19.4059,-2.7659
77.0,-19.4874,-2.7976
78.0,-19.563,-2.8271
79.0,-19.6325,-2.8544
80.0,-19.6962,-2.8794
81.0,-19.7538,-2.9021
82.0,-19.8054,-2.9225
83.0,-19.8509,-2.9406
84.0,-19.8904,-2.9563
85.0,-19.9239,-2.9696
86.0,-19.9513,-2.9805
87.0,-19.9726,-2.989
88.0,-19.9878,-2.9951
89.0,-19.997,-2.9988
90.0,-20.0,-3.0
91.0,-19.997,-2.9988
92.0,-19.9878,-2.9951
93.0,-19.9726,-2.989
94.0,-19.9513,-2.9805
95.0,-19.9239,-2.9696
96.0,-19.8904,-2.9563
97.0,-19.8509,-2.9406
98.0,-19.8054,-2.9225
99.0,-19.7538,-2.9021
100.0,-19.6962,-2.8794
101.0,-19.6325,-2.8544
102.0,-19.563,-2.8271
103.0,-19.4874,-2.7976
104.0,-19.4059,-2.7659
105.0,-19.3185,-2.7321
106.0,-19.2252,-2.6961
107.0,-19.1261,-2.6581
108.0,-19.0211,-2.618
109.0,-18.9104,-2.576
110.0,-18.7939,-2.5321
111.0,-18.6716,-2.4863
112.0,-18.5437,-2.4387
113.0,-18.4101,-2.3893
114.0,-18.2709,-2.3383
115.0,-18.1262,-2.2856
116.0,-17.9759,-2.2313
117.0,-17.8201,-2.1756
118.0,-17.659,-2.1184
119.0,-17.4924,-2.0598
120.0,-17.3205,-2.0
121.0,-17.1433,-1.9389
122.0,-16.961,-1.8767
123.0,-16.7734,-1.8135
124.0,-16.5808,-1.7492
125.0,-16.383,-1.684
126.0,-16.1803,-1.618
127.0,-15.9727,-1.5513
128.0,-15.7602,-1.4838
129.0,-15.5429,-1.4158
130.0,-15.3209,-1.3473
131.0,-15.0942,-1.2783
132.0,-14.8629,-1.2091
133.0,-14.6271,-1.1395
134.0,-14.3868,-1.0698
135.0,-14.1421,-1.0
136.0,-13.8932,-0.9302
137.0,-13.64,-0.8605
138.0,-13.3826,-0.7909
139.0,-13.1212,-0.7217
140.0,-12.8558,-0.6527
141.0,-12.5864,-0.5842
142.0,-12.3132,-0.5162
143.0,-12.0363,-0.4487
144.0,-11.7557,-0.382
145.0,-11.4715,-0.316
146.0,-11.1839,-0.2508
147.0,-10.8928,-0.1865
148.0,-10.5984,-0.1233
149.0,-10.3008,-0.0611
150.0,-10.0,0.0
151.0,-9.6962,0.0598
152.0,-9.3894,0.1184
153.0,-9.0798,0.1756
154.0,-8.7674,0.2313
