t_s,h_m,u_efflux_m_s
0.0,2.0,6.2642
540.0,1.9347,6.161
1080.0,1.8704,6.0578
1620.0,1.8072,5.9546
2160.0,1.7451,5.8514
2700.0,1.6841,5.7482
3240.0,1.6242,5.645
3780.0,1.5653,5.5419
4320.0,1.5076,5.4387
4860.0,1.4509,5.3355
5400.0,1.3953,5.2323
5940.0,1.3409,5.1291
6480.0,1.2874,5.0259
7020.0,1.2351,4.9227
7560.0,1.1839,4.8195
8100.0,1.1337,4.7163
8640.0,1.0847,4.6131
9180.0,1.0367,4.5099
9720.0,0.9898,4.4067
10260.0,0.944,4.3035
10800.0,0.8992,4.2004
11340.0,0.8556,4.0972
11880.0,0.813,3.994
12420.0,0.7716,3.8908
12960.0,0.7312,3.7876
13500.0,0.6919,3.6844
14040.0,0.6537,3.5812
14580.0,0.6165,3.478
15120.0,0.5805,3.3748
15660.0,0.5455,3.2716
16200.0,0.5117,3.1684
16740.0,0.4789,3.0652
17280.0,0.4472,2.962
17820.0,0.4166,2.8588
18360.0,0.387,2.7556
18900.0,0.3586,2.6524
19440.0,0.3312,2.5492
19980.0,0.3049,2.446
20520.0,0.2797,2.3428
21060.0,0.2556,2.2396
21600.0,0.2326,2.1364
22140.0,0.2107,2.0332
22680.0,0.1898,1.93
23220.0,0.1701,1.8268
23760.0,0.1514,1.7236
24300.0,0.1338,1.6203
24840.0,0.1173,1.5171
25380.0,0.1019,1.4139
25920.0,0.0876,1.3107
26460.0,0.0743,1.2075
27000.0,0.0621,1.1043
27540.0,0.0511,1.001
28080.0,0.0411,0.8978
28620.0,0.0322,0.7945
29160.0,0.0244,0.6913
29700.0,0.0176,0.588
30240.0,0.012,0.4848
30780.0,0.0074,0.3815
31320.0,0.0039,0.2781
31860.0,0.0016,0.1747
32400.0,0.0003,0.0711
