dp_kPa,u1_m_s,u2_m_s,Q_Ls
2,0.3242,2.0261,2.47
4,0.4585,2.8653,3.493
6,0.5615,3.5093,4.278
8,0.6484,4.0522,4.939
10,0.7249,4.5305,5.522
12,0.7941,4.9629,6.049
14,0.8577,5.3606,6.534
16,0.9169,5.7307,6.985
18,0.9725,6.0783,7.409
20,1.0251,6.4071,7.81
22,1.0752,6.7198,8.191
24,1.123,7.0186,8.555
26,1.1688,7.3052,8.905
28,1.213,7.581,9.241
30,1.2555,7.8471,9.565
32,1.2967,8.1044,9.879
34,1.3366,8.3538,10.183
36,1.3754,8.596,10.478
38,1.4131,8.8316,10.765
40,1.4498,9.061,11.045
42,1.4856,9.2848,11.318
44,1.5205,9.5033,11.584
46,1.5547,9.7168,11.844
48,1.5881,9.9258,12.099
50,1.6209,10.1305,12.348
