# Blasius similarity profile for the laminar flat-plate boundary layer.
# Tabulated from the numerical solution of 2 f''' + f f'' = 0 with
# f(0)=0, f'(0)=0, f'(inf)=1 (Schlichting). eta is the similarity variable
# y sqrt(U/(nu x)); f_prime = u/U_infty; f_double_prime is proportional to
# the local shear, with f''(0) = 0.33206 setting the wall shear stress.
# Columns: eta, f, f_prime, f_double_prime
eta,f,f_prime,f_double_prime
0.0,0.00000,0.00000,0.33206
0.4,0.02656,0.13277,0.33147
0.8,0.10611,0.26471,0.32739
1.2,0.23795,0.39378,0.31659
1.6,0.42032,0.51676,0.29667
2.0,0.65003,0.62977,0.26675
2.4,0.92230,0.72899,0.22809
2.8,1.23099,0.81152,0.18401
3.2,1.56911,0.87609,0.13913
3.6,1.92954,0.92333,0.09809
4.0,2.30576,0.95552,0.06424
4.4,2.69238,0.97587,0.03897
4.8,3.08534,0.98779,0.02187
5.2,3.48189,0.99425,0.01134
5.6,3.88031,0.99748,0.00543
6.0,4.27923,0.99898,0.00240
6.8,4.27964,0.99992,0.00033
