# Darcy friction factor versus Reynolds number for several relative
# roughness values. Laminar values from f = 64/Re; turbulent values from
# the Colebrook=White relation (Moody 1944; Colebrook 1939), computed by
# code/moody.py. The transitional band (2300 < Re < 4000) is omitted
# because no single-curve description applies there.
# Columns: Re, rel_roughness (eps/D), f (Darcy), regime
Re,rel_roughness,f,regime
640,0.0,0.10000,laminar
1000,0.0,0.06400,laminar
2000,0.0,0.03200,laminar
2300,0.0,0.02783,laminar
4000,0.0,0.03992,turbulent
10000,0.0,0.03088,turbulent
30000,0.0,0.02346,turbulent
100000,0.0,0.01799,turbulent
300000,0.0,0.01457,turbulent
1000000,0.0,0.01165,turbulent
10000000,0.0,0.00810,turbulent
100000000,0.0,0.00600,turbulent
4000,0.001,0.04098,turbulent
10000,0.001,0.03240,turbulent
100000,0.001,0.02164,turbulent
1000000,0.001,0.01980,turbulent
100000000,0.001,0.01963,fully_rough
4000,0.01,0.04895,turbulent
100000,0.01,0.03850,turbulent
1000000,0.01,0.03811,turbulent
100000000,0.01,0.03810,fully_rough
