# Sample measured pressure drop across a 20 mm internal-diameter, 2 m
# smooth copper pipe carrying water at 20 C, over a range of flow rates.
# Representative bench-rig values for the chapter's pipe project; the
# friction factor is computed from f = dp D / (L * 0.5 rho u^2). The data
# straddle the laminar-to-turbulent transition near Re = 2300.
# Columns: Q_L_per_s, u_bar_m_per_s, Re, delta_p_Pa, f_measured, regime
Q_L_per_s,u_bar_m_per_s,Re,delta_p_Pa,f_measured,regime
0.020,0.0637,1271,80,0.0509,laminar
0.030,0.0955,1907,180,0.0510,laminar
0.036,0.1146,2287,259,0.0510,laminar
0.045,0.1432,2859,520,0.0656,transitional
0.060,0.1910,3814,980,0.0695,transitional
0.080,0.2546,5085,1620,0.0648,turbulent
0.120,0.3820,7627,3380,0.0600,turbulent
0.180,0.5730,11441,7100,0.0560,turbulent
0.250,0.7958,15890,12900,0.0528,turbulent
0.350,1.1141,22246,23800,0.0497,turbulent
