# Standard drag coefficient of a smooth sphere versus Reynolds number.
# Compiled from the standard sphere-drag curve (Schlichting, boundary-layer
# theory; White, fluid mechanics). The Stokes branch C_D = 24/Re holds at
# low Re; the drag crisis near Re = 3e5 drops C_D sharply.
# Columns: Re (dimensionless), C_D (dimensionless), regime
Re,C_D,regime
0.1,240.0,stokes
1.0,26.5,stokes
2.0,14.4,intermediate
5.0,6.9,intermediate
10.0,4.1,intermediate
20.0,2.55,intermediate
50.0,1.50,intermediate
100.0,1.07,intermediate
200.0,0.77,intermediate
500.0,0.55,intermediate
1000.0,0.46,subcritical_plateau
5000.0,0.39,subcritical_plateau
10000.0,0.40,subcritical_plateau
50000.0,0.49,subcritical_plateau
100000.0,0.50,subcritical_plateau
200000.0,0.49,subcritical_plateau
300000.0,0.20,drag_crisis
500000.0,0.10,supercritical
1000000.0,0.12,supercritical
