T_C,p_sat_kPa,v_f_m3kg,v_g_m3kg,h_f_kJkg,h_g_kJkg,s_f_kJkgK,s_g_kJkgK
-40,51.25,0.0007055,0.36108,0.0,225.86,0.0000,0.96866
-30,84.43,0.0007203,0.22580,12.84,231.46,0.05480,0.95084
-20,132.7,0.0007361,0.14744,24.31,235.31,0.09515,0.93322
-10,200.6,0.0007530,0.09960,38.55,244.51,0.15504,0.92044
0,292.8,0.0007722,0.06934,50.02,247.23,0.19829,0.91009
10,414.6,0.0007930,0.04944,65.43,253.07,0.25286,0.90147
20,572.1,0.0008161,0.03611,79.32,258.45,0.30100,0.89419
30,770.6,0.0008421,0.02681,93.42,263.50,0.34786,0.88761
40,1017,0.0008720,0.02007,107.32,267.97,0.39305,0.88120
50,1318,0.0009074,0.01511,121.46,271.83,0.43747,0.87455
