time_s,fraction_left,entropy_per_kB
0.000000e+00,1.0000,2.0666
4.000000e-04,0.8767,2.3361
8.000000e-04,0.7700,2.5563
1.200000e-03,0.6467,2.7082
1.600000e-03,0.5433,2.7608
2.000000e-03,0.4800,2.7572
2.400000e-03,0.4500,2.7502
2.800000e-03,0.4500,2.7504
3.200000e-03,0.5133,2.7418
3.600000e-03,0.5433,2.7518
4.000000e-03,0.5767,2.7530
4.400000e-03,0.5933,2.7431
4.800000e-03,0.5533,2.7455
5.200000e-03,0.5200,2.7545
5.600000e-03,0.4867,2.7389
6.000000e-03,0.4800,2.7276
6.400000e-03,0.4867,2.7447
6.800000e-03,0.4733,2.7578
7.200000e-03,0.4700,2.7652
7.600000e-03,0.4933,2.7553
8.000000e-03,0.4933,2.7639
8.400000e-03,0.4700,2.7606
8.800000e-03,0.4733,2.7614
9.200000e-03,0.4533,2.7439
9.600000e-03,0.4700,2.7483
1.000000e-02,0.4833,2.7527
1.040000e-02,0.5100,2.7520
1.080000e-02,0.4900,2.7622
1.120000e-02,0.4933,2.7636
1.160000e-02,0.4967,2.7582
1.200000e-02,0.4900,2.7545
1.240000e-02,0.4767,2.7631
1.280000e-02,0.4833,2.7568
1.320000e-02,0.4967,2.7626
1.360000e-02,0.4900,2.7666
1.400000e-02,0.5167,2.7601
1.440000e-02,0.5267,2.7427
1.480000e-02,0.5467,2.7455
1.520000e-02,0.5600,2.7459
1.560000e-02,0.5467,2.7367
1.600000e-02,0.5333,2.7516
1.640000e-02,0.5100,2.7542
1.680000e-02,0.5200,2.7583
1.720000e-02,0.5233,2.7483
1.760000e-02,0.4933,2.7609
1.800000e-02,0.4800,2.7327
1.840000e-02,0.5100,2.7556
1.880000e-02,0.5067,2.7604
1.920000e-02,0.5133,2.7680
1.960000e-02,0.5167,2.7478
2.000000e-02,0.5100,2.7502
2.040000e-02,0.4767,2.7485
2.080000e-02,0.4800,2.7549
2.120000e-02,0.5000,2.7474
2.160000e-02,0.5433,2.7555
2.200000e-02,0.5633,2.7393
2.240000e-02,0.5733,2.7521
2.280000e-02,0.5567,2.7485
2.320000e-02,0.5500,2.7434
2.360000e-02,0.5233,2.7542
2.400000e-02,0.5200,2.7593
2.440000e-02,0.4700,2.7604
2.480000e-02,0.4500,2.7532
2.520000e-02,0.4700,2.7598
2.560000e-02,0.5000,2.7575
2.600000e-02,0.5200,2.7521
2.640000e-02,0.5167,2.7475
2.680000e-02,0.5133,2.7588
2.720000e-02,0.4833,2.7581
2.760000e-02,0.4767,2.7455
2.800000e-02,0.4633,2.7500
2.840000e-02,0.4633,2.7616
2.880000e-02,0.4733,2.7566
2.920000e-02,0.4833,2.7517
2.960000e-02,0.5033,2.7498
3.000000e-02,0.5133,2.7494
3.040000e-02,0.5233,2.7546
3.080000e-02,0.5100,2.7618
3.120000e-02,0.4767,2.7615
3.160000e-02,0.4567,2.7453
3.200000e-02,0.4533,2.7613
3.240000e-02,0.4900,2.7440
3.280000e-02,0.5100,2.7387
3.320000e-02,0.5267,2.7482
3.360000e-02,0.5533,2.7379
3.400000e-02,0.5567,2.7431
3.440000e-02,0.5533,2.7554
3.480000e-02,0.5333,2.7609
3.520000e-02,0.5133,2.7627
3.560000e-02,0.4900,2.7537
3.600000e-02,0.4867,2.7598
3.640000e-02,0.5000,2.7642
3.680000e-02,0.5167,2.7578
3.720000e-02,0.5167,2.7499
3.760000e-02,0.5300,2.7508
3.800000e-02,0.4867,2.7529
3.840000e-02,0.5067,2.7458
3.880000e-02,0.4967,2.7479
3.920000e-02,0.4867,2.7365
3.960000e-02,0.4933,2.7450
4.000000e-02,0.5067,2.7494
4.040000e-02,0.5167,2.7565
4.080000e-02,0.5133,2.7496
4.120000e-02,0.5200,2.7507
4.160000e-02,0.5033,2.7450
4.200000e-02,0.5033,2.7621
4.240000e-02,0.4800,2.7587
4.280000e-02,0.4567,2.7497
4.320000e-02,0.4900,2.7509
4.360000e-02,0.4833,2.7608
4.400000e-02,0.4900,2.7547
4.440000e-02,0.5200,2.7505
4.480000e-02,0.5233,2.7437
4.520000e-02,0.5400,2.7460
4.560000e-02,0.5267,2.7494
4.600000e-02,0.5233,2.7567
4.640000e-02,0.5367,2.7600
4.680000e-02,0.4967,2.7536
4.720000e-02,0.5133,2.7507
4.760000e-02,0.5033,2.7601
4.800000e-02,0.4833,2.7540
4.840000e-02,0.4933,2.7537
4.880000e-02,0.5033,2.7662
4.920000e-02,0.5200,2.7528
4.960000e-02,0.5233,2.7509
5.000000e-02,0.5433,2.7556
5.040000e-02,0.4967,2.7517
5.080000e-02,0.4900,2.7556
5.120000e-02,0.4500,2.7426
5.160000e-02,0.4667,2.7545
5.200000e-02,0.4767,2.7620
5.240000e-02,0.4867,2.7533
5.280000e-02,0.4767,2.7519
5.320000e-02,0.4767,2.7444
5.360000e-02,0.5100,2.7544
5.400000e-02,0.4967,2.7590
5.440000e-02,0.5067,2.7469
5.480000e-02,0.5033,2.7531
5.520000e-02,0.4800,2.7575
5.560000e-02,0.4767,2.7435
5.600000e-02,0.4667,2.7524
5.640000e-02,0.4667,2.7616
5.680000e-02,0.4733,2.7551
5.720000e-02,0.5233,2.7457
5.760000e-02,0.5167,2.7519
5.800000e-02,0.5100,2.7469
5.840000e-02,0.5300,2.7453
5.880000e-02,0.5367,2.7435
5.920000e-02,0.5167,2.7574
5.960000e-02,0.5033,2.7574
