reduced_T_kT_over_eps,p_excited,mean_E_over_eps,heat_capacity_over_kB,entropy_over_kB
0.080,0.00000,0.00000,0.00058,0.00005
0.160,0.00193,0.00193,0.07512,0.01397
0.240,0.01527,0.01527,0.26101,0.07900
0.320,0.04209,0.04209,0.39371,0.17452
0.400,0.07586,0.07586,0.43815,0.26854
0.480,0.11073,0.11073,0.42737,0.34803
0.560,0.14360,0.14360,0.39215,0.41144
0.640,0.17329,0.17329,0.34975,0.46106
0.720,0.19959,0.19959,0.30816,0.49983
0.800,0.22270,0.22270,0.27048,0.53030
0.880,0.24299,0.24299,0.23753,0.55450
0.960,0.26083,0.26083,0.20920,0.57392
1.040,0.27657,0.27657,0.18498,0.58968
1.120,0.29052,0.29052,0.16432,0.60262
1.200,0.30294,0.30294,0.14664,0.61334
1.280,0.31405,0.31405,0.13148,0.62230
1.360,0.32403,0.32403,0.11842,0.62987
1.440,0.33305,0.33305,0.10712,0.63631
1.520,0.34121,0.34121,0.09729,0.64184
1.600,0.34865,0.34865,0.08871,0.64660
1.680,0.35543,0.35543,0.08117,0.65075
1.760,0.36166,0.36166,0.07453,0.65437
1.840,0.36738,0.36738,0.06865,0.65755
1.920,0.37266,0.37266,0.06342,0.66035
2.000,0.37754,0.37754,0.05875,0.66285
2.080,0.38207,0.38207,0.05457,0.66507
2.160,0.38628,0.38628,0.05081,0.66706
2.240,0.39021,0.39021,0.04742,0.66884
2.320,0.39388,0.39388,0.04436,0.67045
2.400,0.39731,0.39731,0.04157,0.67191
2.480,0.40054,0.40054,0.03904,0.67323
2.560,0.40357,0.40357,0.03673,0.67443
2.640,0.40642,0.40642,0.03461,0.67553
2.720,0.40911,0.40911,0.03267,0.67653
2.800,0.41165,0.41165,0.03089,0.67745
2.880,0.41406,0.41406,0.02925,0.67830
2.960,0.41633,0.41633,0.02773,0.67908
3.040,0.41850,0.41850,0.02633,0.67980
3.120,0.42055,0.42055,0.02503,0.68047
3.200,0.42250,0.42250,0.02383,0.68109
3.280,0.42437,0.42437,0.02271,0.68166
3.360,0.42614,0.42614,0.02166,0.68220
3.440,0.42783,0.42783,0.02069,0.68269
3.520,0.42945,0.42945,0.01978,0.68316
3.600,0.43100,0.43100,0.01892,0.68359
3.680,0.43248,0.43248,0.01812,0.68400
3.760,0.43390,0.43390,0.01737,0.68438
3.840,0.43526,0.43526,0.01667,0.68474
3.920,0.43657,0.43657,0.01601,0.68508
4.000,0.43782,0.43782,0.01538,0.68540
4.080,0.43903,0.43903,0.01479,0.68569
4.160,0.44019,0.44019,0.01424,0.68598
4.240,0.44131,0.44131,0.01371,0.68624
4.320,0.44239,0.44239,0.01322,0.68649
4.400,0.44343,0.44343,0.01275,0.68673
4.480,0.44443,0.44443,0.01230,0.68696
4.560,0.44539,0.44539,0.01188,0.68717
4.640,0.44633,0.44633,0.01148,0.68737
4.720,0.44723,0.44723,0.01110,0.68757
4.800,0.44810,0.44810,0.01073,0.68775
