T_K,delta_G_kJ_per_mol,K_eq,ln_Keq
300,-28.570,9.4272e+04,11.4539
350,-26.465,8.9045e+03,9.0943
400,-24.360,1.5171e+03,7.3246
450,-22.255,3.8304e+02,5.9481
500,-20.150,1.2735e+02,4.8470
550,-18.045,5.1729e+01,3.9460
600,-15.940,2.4416e+01,3.1952
650,-13.835,1.2935e+01,2.5600
700,-11.730,7.5039e+00,2.0154
750,-9.625,4.6809e+00,1.5435
800,-7.520,3.0974e+00,1.1306
850,-5.415,2.1516e+00,0.7662
900,-3.310,1.5563e+00,0.4423
950,-1.205,1.1648e+00,0.1526
1000,0.900,8.9741e-01,-0.1082
1050,3.005,7.0878e-01,-0.3442
1100,5.110,5.7194e-01,-0.5587
1150,7.215,4.7021e-01,-0.7546
1200,9.320,3.9293e-01,-0.9341
1250,11.425,3.3311e-01,-1.0993
1300,13.530,2.8600e-01,-1.2518
