material,thermal_conductivity_W_mK,density_kg_m3,specific_heat_J_kgK,thermal_diffusivity_m2_s
copper,400,8960,385,1.16e-4
aluminium,237,2700,900,9.7e-5
carbon_steel,50,7850,490,1.2e-5
stainless_steel_304,16,8000,500,4.0e-6
glass,1.0,2500,840,5.0e-7
concrete,1.7,2300,880,8.4e-7
brick,0.7,1900,840,4.4e-7
wood_across_grain,0.15,500,1600,1.9e-7
water,0.6,1000,4180,1.4e-7
gypsum_board,0.17,800,1090,2.0e-7
polyurethane_foam,0.025,30,1400,6.0e-7
mineral_wool,0.04,40,840,1.2e-6
aerogel,0.013,150,1000,8.7e-8
still_air,0.025,1.2,1005,2.1e-5
