surface,emissivity,note
polished_aluminium,0.04,low emitter and low absorber
polished_copper,0.05,bright metal, near-mirror in infrared
oxidised_aluminium,0.20,oxide layer raises emissivity
galvanised_steel,0.28,zinc coating, moderately reflective
stainless_steel_dull,0.40,machined or lightly oxidised
oxidised_steel,0.80,rusted or scaled surface
black_paint,0.90,common matte finish
brick,0.93,typical masonry
concrete,0.92,typical construction surface
wood,0.90,unfinished timber
water,0.96,liquid water surface
human_skin,0.97,used in the radiant heat-loss exercises
