hot_side,cold_side,U_low_W_per_m2K,U_high_W_per_m2K,exchanger_type
water,water,800,1500,shell and tube
steam condensing,water,1500,4000,shell and tube
organic vapour condensing,water,700,1000,shell and tube
gas low pressure,gas low pressure,5,35,shell and tube
gas high pressure,water,200,400,shell and tube
light organic liquid,water,350,900,shell and tube
heavy organic liquid,water,60,300,shell and tube
oil,air,30,60,air cooled finned
water,water,3000,7000,plate and frame
steam condensing,water,3000,6000,plate and frame
water,refrigerant evaporating,500,1500,shell and tube evaporator
flue gas,water economiser,20,50,finned tube
