material,relative_permittivity,dielectric_strength_MV_per_m,note
vacuum,1.00,inf,reference
air_dry_1atm,1.0006,3.0,breakdown at sea level
polyethylene,2.25,20,RG-58 coax dielectric
PTFE_teflon,2.1,60,low-loss RF dielectric
polypropylene,2.2,30,film capacitors
FR4_epoxy_glass,4.4,20,printed-circuit-board substrate
mica,6.0,118,high-stability capacitors
alumina_ceramic,9.8,15,RF substrates and capacitors
water_low_freq,80,reference,strongly frequency dependent
barium_titanate_X7R,3000,10,class-2 ceramic capacitors
