band,frequency_low_Hz,frequency_high_Hz,wavelength_long_m,wavelength_short_m,engineering_use
power_line,50,60,6.0e6,5.0e6,grid transmission and ground-loop hum
audio,2e1,2e4,1.5e7,1.5e4,analogue signal recording
LF_radio,3e4,3e5,1.0e4,1.0e3,longwave broadcast and navigation
AM_broadcast,5.3e5,1.7e6,5.7e2,1.8e2,medium-wave broadcast
HF_shortwave,3e6,3e7,1.0e2,1.0e1,long-distance radio
FM_VHF,3e7,3e8,1.0e1,1.0e0,FM broadcast and television
UHF_microwave,3e8,3e9,1.0e0,1.0e-1,mobile radio and wifi
SHF_microwave,3e9,3e10,1.0e-1,1.0e-2,radar and satellite links
infrared,3e11,4e14,1.0e-3,7.5e-7,thermal imaging and optical fibre
visible,4e14,7.9e14,7.5e-7,3.8e-7,photovoltaics and optics
