frequency_hz,magnitude_db,phase_deg
1000.000,-34.3435,89.012
1125.336,-33.2515,88.824
1266.380,-32.2842,87.375
1425.103,-31.3160,88.495
1603.719,-30.1804,89.570
1804.722,-29.1785,86.426
2030.918,-27.9226,88.560
2285.464,-26.6124,87.504
2571.914,-25.7431,86.374
2894.266,-24.5843,88.582
3257.021,-23.1953,86.827
3665.241,-21.9342,84.238
4124.626,-20.6123,84.737
4641.589,-19.3009,84.253
5223.345,-17.5495,82.188
5878.016,-15.6096,81.256
6614.741,-13.7613,77.817
7443.803,-10.9603,74.086
8376.776,-7.6364,66.036
9426.685,-2.6942,40.749
10608.184,-0.7216,-17.988
11937.766,-5.3303,-57.537
13433.993,-9.6032,-70.097
15117.751,-12.3802,-77.342
17012.543,-14.7551,-80.069
19144.820,-16.7684,-81.828
21544.347,-18.8222,-82.232
24244.620,-20.0542,-83.098
27283.334,-21.3851,-86.428
30702.906,-22.6748,-86.588
34551.073,-24.1685,-85.710
38881.552,-25.2074,-88.819
43754.794,-26.4411,-87.686
49238.826,-27.5449,-87.659
55410.203,-28.3711,-86.597
62355.073,-29.7405,-87.417
70170.383,-30.6996,-88.654
78965.229,-31.6269,-88.889
88862.382,-32.9035,-88.940
100000.000,-33.8826,-87.315
