antenna,typical_gain_dBi,half_power_beamwidth_deg,polarisation,typical_use
isotropic_reference,0.0,360,n/a,reference
short_dipole,1.76,90,linear,AM_receiver
half_wave_dipole,2.15,78,linear,FM_VHF
quarter_wave_monopole,5.15,40,linear,vehicle_whip
small_loop,1.76,90,linear,direction_finding
three_element_yagi,7.0,60,linear,TV_reception
ten_element_yagi,13.0,30,linear,point_to_point
patch_microstrip,7.0,70,linear,GPS_WiFi
horn_standard_gain,17.0,28,linear,calibration
parabolic_0p6m_12GHz,35.0,2.9,linear,satellite_TV
parabolic_3m_10GHz,47.0,0.7,linear,earth_station
