wavelength_um,radiance_3000K_rel,radiance_4000K_rel,radiance_5000K_rel
0.300,0.00562,0.07254,0.26151
0.400,0.07254,0.34493,0.68315
0.500,0.26151,0.68315,0.94595
0.600,0.51997,0.91217,0.99714
0.700,0.75418,0.99713,0.92288
0.800,0.91217,0.97737,0.80027
0.900,0.98770,0.90042,0.67159
1.000,0.99714,0.80027,0.55488
1.100,0.96189,0.69670,0.45568
1.200,0.90042,0.59959,0.37395
1.300,0.82620,0.51303,0.30761
1.400,0.74812,0.43799,0.25408
1.500,0.67159,0.37395,0.21093
1.600,0.59959,0.31977,0.17607
1.700,0.53359,0.27412,0.14781
1.800,0.47408,0.23570,0.12480
1.900,0.42098,0.20335,0.10595
2.000,0.37395,0.17607,0.09044
2.100,0.33246,0.15301,0.07760
2.200,0.29596,0.13345,0.06691
2.300,0.26388,0.11681,0.05797
2.400,0.23570,0.10260,0.05045
2.500,0.21093,0.09044,0.04409
2.600,0.18913,0.07998,0.03869
2.700,0.16994,0.07095,0.03408
2.800,0.15301,0.06314,0.03013
2.900,0.13804,0.05636,0.02673
3.000,0.12480,0.05045,0.02379
