voltage_V,current_A
0.000,5.3687e-13
0.025,5.7254e-13
0.050,5.9886e-12
0.075,1.7503e-11
0.100,4.7319e-11
0.125,1.2702e-10
0.150,3.2397e-10
0.175,8.6896e-10
0.200,2.3311e-09
0.225,6.0622e-09
0.250,1.6107e-08
0.275,4.1055e-08
0.300,1.0955e-07
0.325,2.8557e-07
0.350,7.6002e-07
0.375,2.0006e-06
0.400,5.1381e-06
0.425,1.3583e-05
0.450,3.5513e-05
0.475,9.3745e-05
0.500,2.3240e-04
0.525,5.2979e-04
0.550,1.1386e-03
0.575,2.0312e-03
0.600,3.3404e-03
0.625,4.7767e-03
0.650,6.4349e-03
0.675,8.5472e-03
0.700,9.9433e-03
0.725,1.5541e-02
0.750,1.8303e-02
0.775,1.4935e-02
0.800,1.5187e-02
0.825,1.7946e-02
0.850,7.2684e-02
0.875,2.9712e-02
0.900,1.4962e-01
0.925,2.1704e-01
0.950,8.7925e-02
0.975,2.7109e-02
1.000,8.0784e-02
