material,band_gap_eV,gap_type,electron_eff_mass_rel,intrinsic_ni_per_cm3_300K,typical_use
Ge,0.67,indirect,0.12,2.0e13,infrared detectors / early transistors
Si,1.12,indirect,0.26,1.0e10,logic / power / photovoltaics
GaAs,1.42,direct,0.067,2.0e6,LEDs / laser diodes / high-speed RF
InP,1.34,direct,0.078,1.3e7,telecom lasers / photodiodes
GaN,3.40,direct,0.20,1.0e-10,blue/UV LEDs / power switching
SiC,3.26,indirect,0.40,1.0e-8,high-temperature / high-voltage power
diamond,5.47,indirect,0.36,1.0e-27,extreme-environment electronics
InGaN,2.40,direct,0.15,5.0e-3,green/blue LEDs (composition-tunable)
AlGaInP,1.90,direct,0.15,1.0e-1,red/amber LEDs
CdTe,1.50,direct,0.090,6.0e5,thin-film photovoltaics
