bias_V,current_mA
-40,-1.5000
-39,-1.5000
-38,-1.5000
-37,-1.5000
-36,-1.5000
-35,-1.5000
-34,-1.5000
-33,-1.5000
-32,-1.5000
-31,-1.4999
-30,-1.4999
-29,-1.4999
-28,-1.4998
-27,-1.4998
-26,-1.4997
-25,-1.4995
-24,-1.4994
-23,-1.4991
-22,-1.4988
-21,-1.4983
-20,-1.4976
-19,-1.4966
-18,-1.4953
-17,-1.4935
-16,-1.4909
-15,-1.4873
-14,-1.4822
-13,-1.4752
-12,-1.4654
-11,-1.4517
-10,-1.4326
-9,-1.4060
-8,-1.3688
-7,-1.3168
-6,-1.2444
-5,-1.1433
-4,-1.0021
-3,-0.8052
-2,-0.5303
-1,-0.1466
0,0.3888
1,1.1360
2,2.1788
3,3.6342
4,5.6653
5,8.5000
6,8.5000
7,8.5000
8,8.5000
9,8.5000
10,8.5000
11,8.5000
12,8.5000
13,8.5000
14,8.5000
15,8.5000
16,8.5000
17,8.5000
18,8.5000
19,8.5000
20,8.5000
21,8.5000
22,8.5000
23,8.5000
24,8.5000
25,8.5000
