cell_type,kingdom,characteristic_linear_size_um,characteristic_volume_um3,notes,source
Mycoplasma,bacteria,0.2,0.004,smallest free-living cell,bionumbers-2015
E. coli,bacteria,2.0,1.0,2 um long x 0.5 um diameter rod,bionumbers-2015
Bacillus subtilis,bacteria,4.0,5.0,rod,bionumbers-2015
Synechococcus (cyanobacterium),bacteria,1.5,2.0,marine cyanobacterium,bionumbers-2015
Saccharomyces cerevisiae (yeast),fungi,5.0,50.0,baker's yeast,bionumbers-2015
Chlamydomonas,protist,10.0,500.0,unicellular alga with two flagella,bionumbers-2015
Erythrocyte (human),animal,7.5,90.0,biconcave disc, anucleate,alberts-mbc-2022
Lymphocyte (human),animal,10.0,200.0,small immune cell,alberts-mbc-2022
Hepatocyte (human liver),animal,20.0,5000.0,polyhedral,alberts-mbc-2022
Fibroblast (cultured),animal,30.0,2000.0,flat shape when on substrate,alberts-mbc-2022
Cardiomyocyte (human),animal,100.0,20000.0,length x cross-section,alberts-mbc-2022
Adipocyte (mature white fat),animal,100.0,500000.0,lipid droplet dominates volume,bionumbers-2015
Ovum (human),animal,120.0,900000.0,largest cell visible to unaided eye,alberts-mbc-2022
Motor neuron (alpha),animal,30.0,5000.0,soma; axon up to 1 m additional,alberts-mbc-2022
Mesophyll cell (plant),plant,40.0,30000.0,vacuole-dominated,alberts-mbc-2022
Pollen grain (lily),plant,80.0,100000.0,large; wall-bounded,bionumbers-2015
