substrate,formula,molar_mass_g_per_mol,pathway,atp_per_molecule,atp_per_gram,kcal_per_gram,note
glucose,C6H12O6,180.16,anaerobic glycolysis to lactate,2,0.011,2.0,fermentation regenerating NAD+; only 5 percent of available free energy captured
glucose,C6H12O6,180.16,aerobic complete oxidation,32,0.178,4.0,glycolysis + PDH + TCA + OXPHOS; modern P/O of 2.5 for NADH 1.5 for FADH2
fructose,C6H12O6,180.16,aerobic complete oxidation,32,0.178,4.0,enters at glycolysis intermediates; same downstream yield
palmitate,C16H32O2,256.42,beta-oxidation + TCA + OXPHOS,106,0.414,9.4,energy-densest cellular fuel; eight rounds of beta-oxidation
oleate,C18H34O2,282.47,beta-oxidation + TCA + OXPHOS,120,0.425,9.4,one C=C double bond skips one FADH2
stearate,C18H36O2,284.48,beta-oxidation + TCA + OXPHOS,122,0.429,9.4,saturated C18
alanine,C3H7NO2,89.09,deamination to pyruvate + TCA,13,0.146,4.0,deamination loses one ATP for urea cycle (in mammals)
glutamate,C5H9NO4,147.13,deamination to alpha-KG + TCA,23,0.156,4.0,enters mitochondrial matrix as alpha-KG
ethanol,C2H6O,46.07,ADH/ALDH + TCA + OXPHOS,14,0.304,7.0,liver oxidation; ethanol is uniquely small per-gram dense
lactate,C3H6O3,90.08,LDH + TCA + OXPHOS,15,0.166,3.6,Cori cycle: lactate from working muscle is reoxidised by liver
ketone_beta_hydroxybutyrate,C4H8O3,104.10,thiolytic cleavage + TCA + OXPHOS,21.5,0.207,5.2,fasting / ketogenic-diet fuel for brain and heart
