fuel,RQ,note
glucose,1.00,one CO2 produced per O2 consumed
carbohydrate general,1.00,polysaccharide oxidation has same RQ as monosaccharide
average mixed diet,0.85,typical Western mixed diet during rest
protein average,0.81,after deamination losses; amino acid mix dependent
fat average,0.70,palmitate is 0.696; longer chains 0.70-0.72
palmitate (C16),0.696,exact: 16 CO2 per 23 O2
oleate (C18:1),0.713,exact: 18 CO2 per 25.5 O2
ethanol,0.667,exact: 2 CO2 per 3 O2
ketone bodies,0.83,beta-hydroxybutyrate and acetoacetate average
lipogenesis from carbohydrate,above 1.0,exhaling CO2 fixed into long-chain fat releases extra CO2 per O2
hyperventilation pseudo-shift,below 0.70,not a true RQ shift; an artifact of accumulated lung volume
