reaction,reactants,products,dG_standard_kJ_per_mol,source_note
atp_hydrolysis,ATP + H2O,ADP + Pi,-30.5,Lehninger 7e tab 13-6 pH 7.0 310 K
gtp_hydrolysis,GTP + H2O,GDP + Pi,-30.5,Lehninger 7e tab 13-6
pep_hydrolysis,PEP + H2O,Pyruvate + Pi,-61.9,Lehninger 7e tab 13-6
bpg_hydrolysis,"1,3-BPG + H2O",3-PG + Pi,-49.4,Lehninger 7e tab 13-6
creatine_phosphate,Creatine-P + H2O,Creatine + Pi,-43.1,Lehninger 7e tab 13-6
adp_hydrolysis,ADP + H2O,AMP + Pi,-32.8,Lehninger 7e tab 13-6
amp_hydrolysis,AMP + H2O,Adenosine + Pi,-9.2,Lehninger 7e tab 13-6
glucose_6_p_hydrolysis,Glucose-6-P + H2O,Glucose + Pi,-13.8,Lehninger 7e tab 13-6
glycerol_3_p_hydrolysis,Glycerol-3-P + H2O,Glycerol + Pi,-9.2,Lehninger 7e tab 13-6
acetyl_coa_hydrolysis,Acetyl-CoA + H2O,Acetate + CoA-SH,-31.4,Lehninger 7e tab 13-6
glucose_oxidation_overall,C6H12O6 + 6 O2,6 CO2 + 6 H2O,-2870,Lehninger 7e ch 14 overall
palmitate_oxidation_overall,C16H32O2 + 23 O2,16 CO2 + 16 H2O,-9790,Lehninger 7e ch 17 overall
nadh_oxidation_full_chain,NADH + H+ + 0.5 O2,NAD+ + H2O,-220,calculated from E_o NAD+/NADH = -0.32 V to O2/H2O = +0.82 V
fadh2_oxidation_full_chain,FADH2 + 0.5 O2,FAD + H2O,-200,calculated from E_o FAD/FADH2 = -0.22 V to O2/H2O = +0.82 V
hexokinase,Glucose + ATP,Glucose-6-P + ADP,-16.7,Lehninger 7e tab 14-2
phosphofructokinase,Fructose-6-P + ATP,"Fructose-1,6-BP + ADP",-14.2,Lehninger 7e tab 14-2
pyruvate_kinase,PEP + ADP,Pyruvate + ATP,-31.4,Lehninger 7e tab 14-2
citrate_synthase,Acetyl-CoA + Oxaloacetate + H2O,Citrate + CoA-SH,-32.2,Lehninger 7e tab 16-2
isocitrate_dehydrogenase,Isocitrate + NAD+,a-KG + NADH + CO2,-8.4,Lehninger 7e tab 16-2
alpha_kg_dehydrogenase,a-KG + NAD+ + CoA-SH,Succinyl-CoA + NADH + CO2,-30.0,Lehninger 7e tab 16-2
photosynthesis_overall,6 CO2 + 6 H2O,C6H12O6 + 6 O2,+2870,Lehninger 7e ch 20 endergonic light driven
