disease,mode_of_inheritance,gene,chromosome,incidence_per_births,carrier_freq,onset_age_years
Huntington disease,autosomal_dominant,HTT,4,1.0e-4,1.0e-4,40
Marfan syndrome,autosomal_dominant,FBN1,15,3.3e-4,3.3e-4,birth
BRCA1 hereditary breast / ovarian cancer,autosomal_dominant,BRCA1,17,2.5e-3,2.5e-3,45
Lynch syndrome (HNPCC),autosomal_dominant,MLH1/MSH2/MSH6/PMS2,3/2/2/7,3.0e-3,3.0e-3,45
Familial adenomatous polyposis,autosomal_dominant,APC,5,1.0e-4,1.0e-4,30
Cystic fibrosis,autosomal_recessive,CFTR,7,3.0e-4,3.5e-2,birth
Sickle cell disease (US),autosomal_recessive,HBB,11,3.0e-4,8.0e-2,1
Sickle cell disease (sub-Saharan Africa),autosomal_recessive,HBB,11,1.5e-2,2.5e-1,1
Phenylketonuria,autosomal_recessive,PAH,12,1.0e-4,2.0e-2,birth
Tay-Sachs disease (Ashkenazi),autosomal_recessive,HEXA,15,3.3e-3,3.3e-2,1
Spinal muscular atrophy,autosomal_recessive,SMN1,5,1.0e-4,2.0e-2,birth
Duchenne muscular dystrophy,X_linked_recessive,DMD,X,3.3e-4,N/A,3
Haemophilia A,X_linked_recessive,F8,X,1.0e-4,N/A,birth
Fragile X syndrome,X_linked_dominant,FMR1,X,2.5e-4,N/A,2
Leber hereditary optic neuropathy,mitochondrial,MT-ND1/ND4/ND6,MT,3.3e-5,N/A,25
