organism,genome_size_bp,per_bp_per_generation,per_genome_per_generation,method,source_short
Bacteriophage lambda,48502,7.7e-8,3.7e-3,fluctuation_test,Drake_1991
Escherichia coli K-12,4641652,2.2e-10,1.0e-3,mutation_accumulation,Lee_et_al_2012
Saccharomyces cerevisiae,12100000,3.3e-10,4.0e-3,mutation_accumulation,Lynch_2008
Schizosaccharomyces pombe,12600000,2.0e-10,2.5e-3,mutation_accumulation,Farlow_et_al_2015
Caenorhabditis elegans,100000000,2.7e-9,2.7e-1,mutation_accumulation,Denver_et_al_2009
Drosophila melanogaster,143725995,2.8e-9,4.0e-1,parent_offspring_trio,Keightley_et_al_2009
Mus musculus,2723431143,5.4e-9,1.5e1,parent_offspring_trio,Uchimura_et_al_2015
Homo sapiens (germline),3088269832,1.2e-8,7.0e1,parent_offspring_trio,Kong_et_al_2012
Homo sapiens (somatic, kidney epithelium),3088269832,1.4e-9,4.0e0,laser_capture_microdissection,Blokzijl_et_al_2016
Homo sapiens (somatic, colon),3088269832,4.3e-9,1.3e1,laser_capture_microdissection,Blokzijl_et_al_2016
HIV-1 (per replication),9700,3.4e-5,3.3e-1,replication_assay,Mansky_Temin_1995
SARS-CoV-2 (per replication),29903,1.0e-6,3.0e-2,phylogenetic_estimate,Amicone_et_al_2022
