medium,diffusion_coefficient_m2_per_s,consumption_rate_mol_per_m3_s,reference,notes
water (37C),3.0e-9,0,Krogh 1919,
plasma,2.5e-9,0,Krogh 1919,
brain (grey matter),1.7e-9,2.5e-3,Krogh 1919,high consumption tissue
brain (white matter),1.8e-9,5.0e-4,Krogh 1919,low consumption
cardiac muscle (resting),1.8e-9,3.0e-3,Krogh 1919,
cardiac muscle (exercising),1.8e-9,1.0e-2,Krogh 1919,
skeletal muscle (resting),1.9e-9,3.0e-4,Krogh 1919,
skeletal muscle (exercising),1.9e-9,8.0e-3,Krogh 1919,
liver,1.7e-9,1.5e-3,Krogh 1919,
kidney cortex,1.8e-9,3.5e-3,Krogh 1919,
chondrocyte (avascular),1.5e-9,5.0e-5,Fung 1993,cartilage is uniquely diffusion-supplied
hydrogel (poly-HEMA),1.9e-9,0,Billiet et al. 2012,representative bioink hydrogel
collagen gel (3 mg/mL),2.3e-9,0,Yannas and Burke 1980,scaffold matrix transport
