tissue,youngs_modulus_low_kPa,youngs_modulus_high_kPa,uts_MPa,strain_at_failure,loading_direction,reference,notes
brain (cortex),0.5,2,1.0e-3,0.5,isotropic,Fung 1993,viscoelastic; small-strain modulus quoted
fat (subcutaneous),2,10,5.0e-3,0.6,isotropic,Fung 1993,
liver,1,5,1.0e-2,0.4,isotropic,Fung 1993,
muscle (passive),5,15,3.0e-1,0.5,fibre,Fung 1993,passive longitudinal
muscle (active),50,200,3.0e-1,0.5,fibre,Fung 1993,active longitudinal
skin (dermis),50,200,15,0.5,planar,Fung 1993,Holzapfel-Gasser-Ogden fits well
arterial wall,100,500,2.0,1.0,circumferential,Holzapfel et al. 2000,J-shape, HGO model
cartilage (articular),300,1000,30,0.3,compressive,Fung 1993,confined compression
tendon,1000000,2000000,100,0.10,fibre,Fung 1993,1-2 GPa modulus along fibre
cortical bone,1.5e7,2.0e7,150,0.02,longitudinal,Fung 1993,minimal viscoelasticity
