site,type,youngs_modulus_GPa,uts_MPa,ultimate_strain,density_g_cm3,loading_direction,reference,notes
femoral mid-shaft,cortical,17.0,135,0.030,1.90,longitudinal tension,Reilly 1975,human adult cadaveric
femoral mid-shaft,cortical,18.0,205,0.020,1.90,longitudinal compression,Reilly 1975,human adult cadaveric
femoral mid-shaft,cortical,11.5,53,0.020,1.90,transverse tension,Reilly 1975,human adult cadaveric
femoral mid-shaft,cortical,12.0,131,0.025,1.90,transverse compression,Reilly 1975,human adult cadaveric
femoral mid-shaft,cortical,3.3,65,0.027,1.90,shear,Reilly 1975,torsion test
tibial mid-shaft,cortical,18.5,170,0.025,1.95,longitudinal tension,Burstein 1976,human adult
tibial mid-shaft,cortical,17.0,167,0.022,1.95,longitudinal compression,Burstein 1976,human adult
femoral neck,trabecular,1.20,9.0,0.04,0.45,principal,Hayes 1991,Wolff orientation
femoral neck,trabecular,0.80,5.4,0.04,0.30,off-axis,Hayes 1991,off-Wolff axis
vertebral body,trabecular,0.34,2.4,0.05,0.20,axial,Hayes 1991,human L3
vertebral body,trabecular,0.10,1.0,0.05,0.10,axial,Hayes 1991,osteoporotic L3
proximal tibia,trabecular,0.45,5.0,0.04,0.30,axial,Hayes 1991,sub-articular zone
calcaneus,trabecular,0.25,3.5,0.05,0.20,axial,Hayes 1991,heel pad subarticular
craniofacial,cortical,7.4,90,0.020,1.85,various,Currey 2002,human skull average
