phase_fraction,phase,LV_volume_mL,LV_pressure_mmHg,aortic_pressure_mmHg,notes
0.00,filling start,50,5,80,mitral valve opens
0.05,filling,65,5.5,79,rapid filling
0.10,filling,80,6,78,reduced filling
0.20,filling,100,7,76,
0.30,filling,115,8,74,atrial systole contribution
0.35,end diastole,120,10,72,mitral valve closes
0.36,iso. contraction,120,30,72,
0.37,iso. contraction,120,60,72,
0.38,iso. contraction,120,72,72,aortic valve opens
0.40,early ejection,115,90,90,
0.45,mid ejection,95,120,120,peak LV pressure
0.50,mid ejection,75,118,118,
0.55,late ejection,60,105,105,
0.58,end systole,50,85,85,aortic valve closes
0.60,iso. relaxation,50,60,82,
0.62,iso. relaxation,50,30,80,
0.64,iso. relaxation,50,10,80,
0.65,iso. relaxation,50,5,80,mitral valve opens
0.70,filling,55,5,79,early diastole
0.80,filling,70,5.5,78,
0.90,filling,90,6,76,
1.00,filling end,50,5,80,full cardiac cycle (~ 0.85 s at 70 bpm)
