age_y,sex,height_cm,FVC_L,FEV1_L,FEV1_FVC_ratio,TLC_L,RV_L,FRC_L,reference,notes
20,M,175,5.20,4.40,0.85,7.00,1.50,3.20,GLI 2012,white reference
20,F,165,3.80,3.30,0.87,5.20,1.20,2.40,GLI 2012,white reference
30,M,175,5.10,4.30,0.84,6.95,1.55,3.20,GLI 2012,white reference
30,F,165,3.70,3.20,0.86,5.15,1.25,2.40,GLI 2012,white reference
40,M,175,4.90,4.10,0.84,6.90,1.65,3.25,GLI 2012,white reference
40,F,165,3.55,3.05,0.86,5.10,1.30,2.45,GLI 2012,white reference
50,M,175,4.65,3.85,0.83,6.85,1.80,3.30,GLI 2012,white reference
50,F,165,3.35,2.85,0.85,5.00,1.40,2.50,GLI 2012,white reference
60,M,175,4.35,3.55,0.82,6.75,2.00,3.40,GLI 2012,white reference
60,F,165,3.10,2.60,0.84,4.90,1.55,2.55,GLI 2012,white reference
70,M,175,4.00,3.20,0.80,6.65,2.20,3.55,GLI 2012,white reference
70,F,165,2.85,2.35,0.82,4.75,1.65,2.65,GLI 2012,white reference
80,M,175,3.55,2.80,0.79,6.50,2.40,3.65,GLI 2012,white reference
80,F,165,2.55,2.05,0.80,4.55,1.75,2.70,GLI 2012,white reference
