tissue,stretch_lambda,first_piola_stress_MPa,reference,notes
arterial wall,1.05,0.005,Holzapfel 2000,human aorta circumferential
arterial wall,1.10,0.012,Holzapfel 2000,
arterial wall,1.15,0.025,Holzapfel 2000,
arterial wall,1.20,0.050,Holzapfel 2000,
arterial wall,1.25,0.095,Holzapfel 2000,collagen recruitment
arterial wall,1.30,0.170,Holzapfel 2000,
arterial wall,1.40,0.420,Holzapfel 2000,
tendon,1.005,0.6,Maganaris 2002,toe region near end
tendon,1.010,2.5,Maganaris 2002,linear region start
tendon,1.020,8.0,Maganaris 2002,
tendon,1.030,15.0,Maganaris 2002,
tendon,1.040,24.0,Maganaris 2002,
tendon,1.050,35.0,Maganaris 2002,
tendon,1.060,48.0,Maganaris 2002,
skin (dorsal),1.05,0.005,Holzapfel 2000,
skin (dorsal),1.10,0.011,Holzapfel 2000,
skin (dorsal),1.20,0.040,Holzapfel 2000,
skin (dorsal),1.30,0.130,Holzapfel 2000,
skin (dorsal),1.40,0.380,Holzapfel 2000,
skin (dorsal),1.50,0.95,Holzapfel 2000,J-shape stiffening
articular cartilage,1.05,0.04,Mow 1980,confined compression equivalent
articular cartilage,1.10,0.10,Mow 1980,
articular cartilage,1.15,0.18,Mow 1980,
articular cartilage,1.20,0.30,Mow 1980,fluid pressurisation regime
