cell_type,region,baseline_rate_hz,peak_rate_hz,refractory_ms,notes
cortical_pyramidal_l5,M1_cortex,1.0,150,1.5,large output cells motor cortex
cortical_pyramidal_l2_3,visual_cortex,0.5,80,2.0,upper layer association neurons
fast_spiking_interneuron,cortex,5.0,400,0.5,parvalbumin+ basket cells
purkinje_cell,cerebellum,40.0,200,1.0,GABAergic principal cell of cerebellar cortex
cerebellar_granule_cell,cerebellum,0.5,200,1.5,most numerous neuron in brain
midbrain_dopamine_burst,substantia_nigra,4.0,30,3.0,burst firing during reward
medium_spiny_neuron,striatum,0.1,30,2.0,silent at rest; sparse firing
spinal_motor_neuron,spinal_cord,5.0,80,2.0,alpha motor neurons drive muscle
retinal_ganglion_on,retina,15.0,300,1.0,sustained ON-center cell
auditory_nerve,cochlea,50.0,500,0.8,high baseline; phase-locks below 4 kHz
locus_coeruleus,brainstem,1.0,10,5.0,noradrenergic arousal modulator
hippocampal_pyramidal,hippocampus,0.5,200,2.0,place cells during exploration
