date,day,daily_cases,cumulative_cases,note
2020-02-28,0,1,1,first_reported_case
2020-03-04,5,0,1,
2020-03-09,10,1,2,
2020-03-14,15,2,4,
2020-03-19,20,4,9,
2020-03-24,25,9,18,
2020-03-26,27,15,40,lockdown_announced
2020-03-29,30,25,80,
2020-04-03,35,55,250,national_lockdown_begins
2020-04-08,40,75,500,
2020-04-13,45,89,780,peak
2020-04-18,50,75,1100,
2020-04-23,55,55,1320,
2020-04-28,60,30,1490,
2020-05-03,65,20,1580,
2020-05-08,70,12,1640,
2020-05-13,75,7,1680,
2020-05-18,80,4,1700,
2020-05-23,85,3,1714,
2020-05-28,90,2,1724,
2020-06-02,95,1,1729,
2020-06-07,100,1,1733,
2020-06-12,105,0,1734,
2020-06-17,110,0,1734,no_active_community_transmission
