region,population_million,prevalence_diabetes_pct,insulin_using_million,annual_insulin_kg,notes
North_America,370,11.0,11.0,1400,US plus Canada combined 2024 estimate
Latin_America,660,9.0,6.0,750,IDF Atlas
Europe_W_C,520,8.7,6.5,820,EU plus UK plus EFTA
Eastern_Europe_C_Asia,300,9.0,3.0,380,
Middle_East_N_Africa,580,16.0,8.0,1000,high regional prevalence
Sub_Saharan_Africa,1100,4.0,2.0,250,under-treated population
South_Asia,2000,8.5,12.0,1500,India and neighbours
East_Asia_Pacific,2400,9.5,18.0,2300,China plus Japan plus SE Asia
Oceania,45,11.0,1.5,200,Australia plus NZ plus Pacific
Total_world,7975,9.3,68.0,8600,sum across regions order-of-magnitude
