reactor_type,working_volume_L,kla_typical_h_inv,kla_max_achievable_h_inv,notes
shake_flask,0.1,30,100,baffled flask 150-250 rpm
shake_flask,1.0,15,80,250 mL working in 1 L flask
stirred_tank,2,300,500,bench reactor
stirred_tank,10,250,500,bench / development
stirred_tank,100,200,400,pilot
stirred_tank,1000,150,350,production scale
stirred_tank,10000,80,200,large production
airlift,10,80,200,low shear
airlift,1000,60,150,internal-loop
airlift,10000,40,120,external-loop
packed_bed,10,40,100,immobilised
packed_bed,1000,25,60,industrial
hollow_fibre_membrane,2,180,300,perfusion mammalian
hollow_fibre_membrane,200,150,250,perfusion scaled
wave_bag_single_use,50,40,100,rocking 25 rpm
single_use_stirred,500,140,300,single-use bioreactor
single_use_stirred,2000,110,260,SUB production
