organism,substrate,product,Y_X_S_g_per_g,Y_P_S_g_per_g,notes
E_coli,glucose,biomass,0.45,,aerobic batch
E_coli,glucose,recombinant_protein,0.45,0.05,fed-batch high cell density
S_cerevisiae,glucose,biomass,0.50,,aerobic
S_cerevisiae,glucose,ethanol,0.05,0.46,anaerobic Crabtree fermentation
S_cerevisiae,glucose,biomass_anaerobic,0.10,,anaerobic
Lactobacillus,lactose,lactate,0.10,0.95,homolactic
Aspergillus_niger,glucose,citric_acid,0.20,0.70,industrial
CHO,glucose,monoclonal_antibody,0.50,0.005,fed-batch
CHO,glucose,monoclonal_antibody_perfusion,0.50,0.010,perfusion high density
Hybridoma,glucose,monoclonal_antibody,0.40,0.003,batch
Chlorella,CO2,biomass,0.50,,photoautotrophic dry mass per fixed C
Pichia_pastoris,methanol,biomass,0.36,,aerobic
Pichia_pastoris,methanol,secreted_protein,0.36,0.02,methanol-induced
Bacillus_subtilis,glucose,biomass,0.42,,aerobic
Bacillus_subtilis,glucose,subtilisin,0.42,0.04,secreted
