feature,cell01,cell02,cell03,cell04,cell05,cell06,cell07,cell08,cell09,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20
gene001,113,2,66,54,10,14,111,119,12,7,15,106,10,14,118,57,4,9,16,1
gene002,77,4,105,109,7,14,90,56,9,9,1,109,12,14,122,146,15,9,19,3
gene003,129,4,76,133,2,8,90,148,14,8,3,127,3,16,73,130,14,6,11,9
gene004,146,14,117,104,3,2,90,147,14,21,9,67,18,10,81,148,2,17,14,1
gene005,88,9,97,109,9,0,102,58,2,9,14,61,15,19,144,95,7,9,6,7
gene006,104,2,62,83,16,20,116,68,8,6,7,142,16,15,97,72,8,19,14,17
gene007,79,12,102,127,11,6,101,141,9,5,22,81,18,23,146,98,2,5,15,4
gene008,103,13,148,84,3,15,131,141,7,9,15,143,15,9,80,153,10,13,14,10
gene009,115,3,126,101,17,6,78,102,10,18,4,119,2,17,111,116,6,14,5,18
gene010,112,16,131,148,17,17,139,118,16,16,12,121,16,13,124,115,12,1,20,11
gene011,9,4,22,18,11,22,12,21,18,7,6,8,1,7,3,14,12,10,10,16
gene012,16,12,11,14,14,14,12,14,12,11,9,5,7,9,9,19,12,15,3,14
gene013,8,18,14,16,1,15,8,5,8,11,2,16,4,17,20,19,12,5,6,15
gene014,18,17,8,1,7,12,18,12,6,10,16,11,12,4,14,10,11,7,13,11
gene015,11,10,21,6,6,4,11,19,9,15,3,12,14,21,11,9,9,11,21,17
gene016,9,21,15,20,15,17,15,17,4,7,5,18,10,7,7,16,15,4,11,11
gene017,6,13,10,4,9,12,11,20,17,9,8,18,10,19,12,11,9,9,1,8
gene018,17,1,8,16,3,9,20,18,13,20,4,15,17,14,10,9,14,13,17,15
gene019,7,10,21,16,2,10,10,17,8,14,16,11,15,16,17,15,15,12,5,17
gene020,12,17,12,7,15,4,4,13,4,8,17,10,7,7,7,4,14,10,17,19
gene021,15,9,22,10,13,5,8,7,19,3,19,9,14,12,15,15,5,16,10,7
gene022,14,15,10,7,13,10,14,12,16,11,23,19,16,10,14,7,7,14,7,15
gene023,19,16,15,12,10,12,5,7,6,6,12,7,21,10,6,12,15,4,21,23
gene024,11,14,8,17,9,7,5,20,15,12,14,7,7,7,16,17,17,10,10,15
gene025,11,12,17,19,4,5,7,8,7,9,8,5,14,8,18,12,7,21,18,12
gene026,12,8,14,13,18,13,13,7,10,17,15,9,9,6,5,18,16,7,13,10
gene027,11,5,16,12,5,9,12,10,4,8,11,11,6,8,20,4,20,13,12,12
gene028,11,6,4,21,16,18,15,21,19,4,18,21,6,6,17,16,6,6,14,20
gene029,15,8,17,13,12,21,9,9,4,12,15,9,12,10,4,21,20,13,4,4
gene030,17,14,11,13,12,6,16,7,8,15,4,10,13,10,19,8,9,7,11,9
gene031,17,15,11,15,77,88,4,9,9,63,126,12,128,72,10,8,4,6,14,56
gene032,8,4,19,20,116,118,13,5,13,127,154,11,126,127,15,6,14,12,2,112
gene033,22,4,4,9,58,108,10,16,9,79,88,8,145,64,18,18,4,17,6,123
gene034,0,16,12,13,96,111,2,12,7,88,115,8,94,133,4,14,10,16,12,104
gene035,6,17,8,13,83,83,16,21,12,83,107,8,138,100,4,13,16,11,12,69
gene036,9,6,10,20,99,87,9,16,18,74,117,3,92,110,11,16,19,10,11,149
gene037,19,14,19,6,101,133,7,0,7,138,78,19,150,85,6,9,21,15,16,117
gene038,11,14,18,13,119,146,18,17,13,100,97,13,60,119,19,13,1,11,16,87
gene039,17,16,5,5,129,110,8,6,21,105,67,16,117,115,4,11,11,10,8,108
gene040,7,23,10,18,98,53,11,11,8,94,129,15,92,150,23,10,15,6,3,141
gene041,7,22,5,21,11,16,20,12,15,12,7,10,9,8,15,8,15,10,17,16
gene042,10,5,2,12,8,16,15,13,10,16,15,10,12,17,16,5,16,20,5,5
gene043,8,16,14,5,13,13,9,4,9,1,12,11,16,8,17,20,9,11,10,11
gene044,8,2,5,9,5,17,15,6,12,8,18,15,11,19,14,0,9,17,13,19
