valve_size_mm,opening_angle_deg,position,patient_years,fractures,rate_per_patient_year
21,60,aortic,12500,1,0.000080
23,60,aortic,18000,3,0.000167
25,60,aortic,22000,7,0.000318
27,60,aortic,18000,11,0.000611
29,60,aortic,9500,17,0.001789
27,60,mitral,11500,14,0.001217
29,60,mitral,9800,22,0.002245
31,60,mitral,7600,28,0.003684
33,60,mitral,5400,32,0.005926
21,70,aortic,800,0,0.000000
23,70,aortic,1500,1,0.000667
25,70,aortic,3200,9,0.002813
27,70,aortic,2800,18,0.006429
29,70,aortic,1400,16,0.011429
27,70,mitral,3800,32,0.008421
29,70,mitral,4200,52,0.012381
31,70,mitral,3600,68,0.018889
33,70,mitral,2100,46,0.021905
