class,category,count
I,cardiovascular,42
I,orthopaedic,18
I,radiology,9
I,infusion,15
I,surgical,21
I,in_vitro_diagnostic,7
I,anaesthesiology,6
I,software,11
II,cardiovascular,184
II,orthopaedic,142
II,radiology,93
II,infusion,108
II,surgical,221
II,in_vitro_diagnostic,158
II,anaesthesiology,46
II,software,124
II,ophthalmic,67
II,dental,52
III,cardiovascular,12
III,orthopaedic,7
III,radiology,8
III,infusion,9
III,surgical,18
III,in_vitro_diagnostic,21
III,anaesthesiology,4
III,software,11
III,ophthalmic,6
III,dental,8
